,z,p,tr
PO012002NU0008,0.3633350818516835,0.716354589847942,0.0
PO012026NU3021,6.301033730540247,2.956670355648303e-10,1.0
PO0120500RZ001,-1.3396447696955731,0.1803608613812152,0.0
PO012070NU1007,0.3580307855362738,0.7203202750625589,0.0
PO0120750R2020,3.0099085436851847,0.002613263649473138,1.0
PO0120790RZ001,2.0439111364314853,0.040962326773978784,1.0
PO012090NU2009,-4.384182003928697,1.1642240923000765e-05,-1.0
PO0121180U0005,-4.483262302538057,7.351047775677708e-06,-1.0
PO012119NUP001,-10.30210181020261,6.893833636387449e-25,-1.0
PO012123NUP001,-9.861814646455343,6.093795549461179e-23,-1.0
PO0121300RZ001,0.9875265463446841,0.3233845756309838,0.0
PO012136NUZ001,-7.10948679759949,1.1647524173688794e-12,-1.0
PO0130230U0003,-8.559401309825281,1.1345513979561165e-17,-1.0
PO0130280U0009,-5.5505108016806,2.8483611052491863e-08,-1.0
PO013064NU0002,-8.258984520054243,1.4691697913806124e-16,-1.0
PO0131310U0001,-5.198290286769161,2.0112986514654762e-07,-1.0
PO0131330U0009,-4.504015156695408,6.668144754384776e-06,-1.0
PO0131590U0001,2.082113995137643,0.03733205850540003,1.0
PO015041NR0075,-3.8696933824642676,0.00010897231594100002,-1.0
PO015051NR0012,2.1277241423818367,0.03335996202084557,1.0
PO015062NR0071,-7.104242523859642,1.2098424225372408e-12,-1.0
PO015113NUP001,-1.1830382405287692,0.2367939923104848,0.0
PO015146NU1534,5.548368901978411,2.883469732786208e-08,1.0
PO015194NU0017,-7.617845186082946,2.579453996628359e-14,-1.0
PO0970200U0002,-0.871454238509479,0.3835061818657024,0.0
PO0970200U0003,0.4111407347326985,0.6809693422187151,0.0
PO0970480U0001,-2.2052406863490748,0.02743720953659713,-1.0
PO0970610U0015,-2.1029946772611257,0.03546623477708669,-1.0
PO108033NR0142,0.21098253902589553,0.832900896518436,0.0
PO108033NU0243,-8.67496569555346,4.136751621608574e-18,-1.0
