,slope
PO012002NU0008,0.002034482758620853
PO012026NU3021,0.028061384278108368
PO0120500RZ001,-0.00697622779519326
PO012070NU1007,0.00139985931062205
PO0120750R2020,0.02545454545454556
PO0120790RZ001,0.014926454683106011
PO012090NU2009,-0.010320000000000051
PO0121180U0005,-0.022043010752688143
PO012119NUP001,-0.2111111111111107
PO012123NUP001,-0.06938749999999996
PO0121300RZ001,0.007510330578512525
PO012136NUZ001,-0.0255223214285717
PO0130230U0003,-0.030786893704849758
PO0130280U0009,-0.014285714285714375
PO013064NU0002,-0.03636363636363559
PO0131310U0001,-0.04666666666666781
PO0131330U0009,-0.026830143540669996
PO0131590U0001,0.014423076923076924
PO015041NR0075,-0.042788888888889036
PO015051NR0012,0.03388214285714355
PO015062NR0071,-0.03249999999999886
PO015113NUP001,-0.023571428571428448
PO015146NU1534,0.03351136363636363
PO015194NU0017,-0.0676679929266141
PO0970200U0002,-0.009005602240896249
PO0970200U0003,0.005408614477563014
PO0970480U0001,-0.01737087912087906
PO0970610U0015,-0.01650033101621965
PO108033NR0142,0.0010000000000019327
PO108033NU0243,-0.09958974358974323
