CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z,lat,lon,COD_PTUA16,NOME_CI,SHAPE_AREA
"181140002",CAP,PIEVE PORTO MORONE                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1534790,4995405,54.68,45.1110865812865,9.44190863900206,IT03GWBISSBPPO,"Corpo idrico sotterraneo superficiale di Bassa pianura Bacino Po",2043224016.50999975204
"980490001",CAP,SAN ROCCO AL PORTO                                                                                                                                                                                                                                            ,via Acquedotto                                                                                                                                                                                                                                                ,1554770,4992220,51.92,45.0811541887224,9.69553592959806,IT03GWBISSBPPO,"Corpo idrico sotterraneo superficiale di Bassa pianura Bacino Po",2043224016.50999975204
"980150003",CAP,CASTIRAGA VIDARDO                                                                                                                                                                                                                                             ,Cascina  Pollarana                                                                                                                                                                                                                                            ,1530789,5012188,75.53,45.2623398947847,9.39208305711081,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"180700001",CAP,GENZONE                                                                                                                                                                                                                                                       ,via Cairoli                                                                                                                                                                                                                                                   ,1527575,5002880,73.99,45.1786895253954,9.35060356609139,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"180780001",CAP,LANDRIANO                                                                                                                                                                                                                                                     ,Piazza Marconi                                                                                                                                                                                                                                                ,1520475,5017674,85.63,45.3120957714803,9.26084895906697,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"980500005",CAP,SANT'ANGELO LODIGIANO                                                                                                                                                                                                                                         ,fraz.Ranera                                                                                                                                                                                                                                                   ,1532041,5007048,74.38,45.2160181352273,9.40770984603638,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"980590001",CAP,VALERA FRATTA                                                                                                                                                                                                                                                 ,serb. scuola materna                                                                                                                                                                                                                                          ,1526403,5011526,77.81,45.2565591692944,9.33614523212096,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"180930002",CAP,MIRADOLO TERME                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                              ,1535650,5001980,68.88,45.1702270243791,9.45330922242028,IT03GWBISSMPTLS,"Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Ticino - Lambro",643164362.05700004101
"980070001",CAP,CAMAIRAGO                                                                                                                                                                                                                                                     ,via 4 novembre                                                                                                                                                                                                                                                ,1556980,5006056,60.4,45.2055150225883,9.72518959242269,IT03GWBISSMPLAS,Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Lambro - Adda,492427868.69400000572
"980230001",CAP,CORNOVECCHIO                                                                                                                                                                                                                                                  ,Municipio                                                                                                                                                                                                                                                     ,1562792,4998470,52.67,45.1367427516661,9.79823441897577,IT03GWBISSMPLAS,Corpo idrico sotterraneo superficiale di Media pianura Bacino Sud Lambro - Adda,492427868.69400000572
