CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z,lat,lon
0980070001,CAP,CAMAIRAGO                                                                                                                                                                                                                                                     ,via 4 novembre                                                                                                                                                                                                                                                ,1556980.0,5006056.0,60.4,45.205515022588294,9.725189592422693
0980150003,CAP,CASTIRAGA VIDARDO                                                                                                                                                                                                                                             ,Cascina  Pollarana                                                                                                                                                                                                                                            ,1530789.0,5012188.0,75.53,45.26233989478467,9.392083057110812
0980200001,CAP,COMAZZO                                                                                                                                                                                                                                                       ,Piazza Caduti                                                                                                                                                                                                                                                 ,1536534.0,5032132.0,90.77,45.44157925673872,9.466778593686062
0980230001,CAP,CORNOVECCHIO                                                                                                                                                                                                                                                  ,Municipio                                                                                                                                                                                                                                                     ,1562792.0,4998470.0,52.67,45.13674275166615,9.798234418975769
0180700001,CAP,GENZONE                                                                                                                                                                                                                                                       ,via Cairoli                                                                                                                                                                                                                                                   ,1527575.0,5002880.0,73.99,45.17868952539538,9.350603566091392
0180780001,CAP,LANDRIANO                                                                                                                                                                                                                                                     ,Piazza Marconi                                                                                                                                                                                                                                                ,1520475.0,5017674.0,85.63,45.31209577148034,9.260848959066973
0980330001,CAP,MACCASTORNA                                                                                                                                                                                                                                                   ,via Roma                                                                                                                                                                                                                                                      ,1567299.0,4999597.0,40.28,45.146471529502705,9.855699661397841
0980350002,CAP,MALEO                                                                                                                                                                                                                                                         ,Piazza 25 Aprile                                                                                                                                                                                                                                              ,1560100.0,5001920.0,57.44,45.16802926263852,9.76441567897851
0980400001,CAP,MONTANASO LOMBARDO                                                                                                                                                                                                                                            ,Comune                                                                                                                                                                                                                                                        ,1535877.0,5019968.0,82.67,45.332126829554525,9.457494898555014
0980410001,CAP,MULAZZANO                                                                                                                                                                                                                                                     ,via Lago Maggiore                                                                                                                                                                                                                                             ,1531414.0,5024506.0,90.43,45.37318702903256,9.400829385358684
0980420003,CAP,ORIO LITTA                                                                                                                                                                                                                                                    ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820.0,5000952.0,65.02,45.160514271969326,9.557181033189885
0181140002,CAP,PIEVE PORTO MORONE                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1534790.0,4995405.0,54.68,45.11108658128653,9.441908639002058
0980490001,CAP,SAN ROCCO AL PORTO                                                                                                                                                                                                                                            ,via Acquedotto                                                                                                                                                                                                                                                ,1554770.0,4992220.0,51.92,45.08115418872243,9.69553592959806
0980500005,CAP,SANT'ANGELO LODIGIANO                                                                                                                                                                                                                                         ,fraz.Ranera                                                                                                                                                                                                                                                   ,1532041.0,5007048.0,74.38,45.2160181352273,9.40770984603638
0152220001,CAP,TRIBIANO                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                              ,1528826.0,5027968.0,94.58,45.40445944148314,9.367981157970549
0980580002,CAP,TURANO LODIGIANO                                                                                                                                                                                                                                              ,via 25 Aprile                                                                                                                                                                                                                                                 ,1548759.0,5010831.0,65.49,45.24911054370088,9.62098372468812
0980590001,CAP,VALERA FRATTA                                                                                                                                                                                                                                                 ,serb. scuola materna                                                                                                                                                                                                                                          ,1526403.0,5011526.0,77.81,45.2565591692944,9.336145232120957
0980020001,CAP,BERTONICO                                                                                                                                                                                                                                                     ,via Garibaldi                                                                                                                                                                                                                                                 ,1552834.0,5009331.0,62.65,45.23531543971653,9.672748682281586
0151250001,CAP,LOCATE DI TRIULZI                                                                                                                                                                                                                                             ,Piazza Gramsci                                                                                                                                                                                                                                                ,1517414.859,5022682.332,94.84,45.3572589360192,9.22198654825487
0180930002,CAP,MIRADOLO TERME                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                              ,1535650.0,5001980.0,68.88,45.17022702437905,9.453309222420284
0151670001,CAP,PANTIGLIATE                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                              ,1527808.97,5032030.97,102.37,45.44107097634637,9.355214981541996
0151850001,CAP,RODANO                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                              ,1528072.307,5035498.719,110.41,45.472273180825454,9.358779675790284
0151890001,CAP,ROZZANO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1511442.773,5024760.111,101.91,45.37608384326454,9.145787708659222
0151950007,CAP,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,1519362.736,5026815.913,100.01,45.39441465572918,9.247017062941808
