CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z
0980040003,CAP                                                                                                                                                                                                                                                           ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,1538844.0,5006972.0,67.66
0980040007,CAP                                                                                                                                                                                                                                                           ,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,Casoni 3                                                                                                                                                                                                                                                      ,1539108.0,5004665.0,60.63
0980050002,CAP                                                                                                                                                                                                                                                           ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1533421.0,5013656.0,77.78
0980050003,CAP                                                                                                                                                                                                                                                           ,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1533474.0,5013677.0,77.76
0980070001,CAP                                                                                                                                                                                                                                                           ,CAMAIRAGO                                                                                                                                                                                                                                                     ,via 4 novembre                                                                                                                                                                                                                                                ,1556980.0,5006056.0,60.4
0980090001,CAP                                                                                                                                                                                                                                                           ,CASALMAIOCCO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1528912.0,5022201.0,87.02
0980100003,CAP                                                                                                                                                                                                                                                           ,CASALPUSTERLENGO                                                                                                                                                                                                                                              ,via Cadorna                                                                                                                                                                                                                                                   ,1550786.0,5003618.0,60.05
0980110001,CAP                                                                                                                                                                                                                                                           ,CASELLE LANDI                                                                                                                                                                                                                                                 ,via Roma I                                                                                                                                                                                                                                                    ,1562239.0,4994652.0,45.58
0980130001,CAP                                                                                                                                                                                                                                                           ,CASTELNUOVO BOCCA D'ADDA                                                                                                                                                                                                                                      ,via Cairoli serb.                                                                                                                                                                                                                                             ,1568202.0,4995450.0,45.24
0980140001,CAP                                                                                                                                                                                                                                                           ,CASTIGLIONE D'ADDA                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1554445.0,5007722.0,60.31
0980140003,CAP                                                                                                                                                                                                                                                           ,CASTIGLIONE D'ADDA                                                                                                                                                                                                                                            ,Astronauti                                                                                                                                                                                                                                                    ,1554303.0,5006895.0,62.79
0980150003,CAP                                                                                                                                                                                                                                                           ,CASTIRAGA VIDARDO                                                                                                                                                                                                                                             ,Cascina  Pollarana                                                                                                                                                                                                                                            ,1530789.0,5012188.0,75.53
0980170000,CAP                                                                                                                                                                                                                                                           ,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                              ,1544810.0,5014760.0,69.28
0980170003,CAP                                                                                                                                                                                                                                                           ,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Via Valsecchi serb.                                                                                                                                                                                                                                           ,1547241.0,5014694.0,67.66
0980170012,CAP                                                                                                                                                                                                                                                           ,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Soltarico                                                                                                                                                                                                                                                     ,1544810.0,5014760.0,69.28
0980170064,CAP                                                                                                                                                                                                                                                           ,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Soltarico                                                                                                                                                                                                                                                     ,1544794.0,5014715.0,69.4
0980180001,CAP                                                                                                                                                                                                                                                           ,CERVIGNANO D'ADDA                                                                                                                                                                                                                                             ,Piazza Caduti                                                                                                                                                                                                                                                 ,1533303.0,5024632.0,87.97
0980200001,CAP                                                                                                                                                                                                                                                           ,COMAZZO                                                                                                                                                                                                                                                       ,Piazza Caduti                                                                                                                                                                                                                                                 ,1536534.0,5032132.0,90.77
0980200003,CAP                                                                                                                                                                                                                                                           ,COMAZZO                                                                                                                                                                                                                                                       ,Serbatoio                                                                                                                                                                                                                                                     ,1536250.0,5032285.0,94.19
0980230001,CAP                                                                                                                                                                                                                                                           ,CORNOVECCHIO                                                                                                                                                                                                                                                  ,Municipio                                                                                                                                                                                                                                                     ,1562792.0,4998470.0,52.67
0980260001,CAP                                                                                                                                                                                                                                                           ,FOMBIO                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                              ,1554199.0,4998915.0,56.85
0980260002,CAP                                                                                                                                                                                                                                                           ,FOMBIO                                                                                                                                                                                                                                                        ,via Giovanni XXIII                                                                                                                                                                                                                                            ,1554292.0,4998880.0,55.57
0180700001,CAP                                                                                                                                                                                                                                                           ,GENZONE                                                                                                                                                                                                                                                       ,via Cairoli                                                                                                                                                                                                                                                   ,1527575.0,5002880.0,73.99
0980280001,CAP                                                                                                                                                                                                                                                           ,GRAFFIGNANA                                                                                                                                                                                                                                                   ,via Milano - serb.                                                                                                                                                                                                                                            ,1535471.0,5006700.0,69.13
0980290001,CAP                                                                                                                                                                                                                                                           ,GUARDAMIGLIO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1553595.0,4995355.0,47.29
0980290003,CAP                                                                                                                                                                                                                                                           ,GUARDAMIGLIO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1553662.0,4995624.0,47.46
0180780001,CAP                                                                                                                                                                                                                                                           ,LANDRIANO                                                                                                                                                                                                                                                     ,Piazza Marconi                                                                                                                                                                                                                                                ,1520475.0,5017674.0,85.63
0980320002,CAP                                                                                                                                                                                                                                                           ,LODI VECCHIO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1532570.0,5016525.0,80.38
0980330001,CAP                                                                                                                                                                                                                                                           ,MACCASTORNA                                                                                                                                                                                                                                                   ,via Roma                                                                                                                                                                                                                                                      ,1567299.0,4999597.0,40.28
0980350002,CAP                                                                                                                                                                                                                                                           ,MALEO                                                                                                                                                                                                                                                         ,Piazza 25 Aprile                                                                                                                                                                                                                                              ,1560100.0,5001920.0,57.44
0980370001,CAP                                                                                                                                                                                                                                                           ,MASSALENGO                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                              ,1538714.0,5012115.0,73.35
0980370002,CAP                                                                                                                                                                                                                                                           ,MASSALENGO                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                              ,1539121.0,5012200.0,74.14
0980390001,CAP                                                                                                                                                                                                                                                           ,MERLINO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1533610.0,5031132.0,97.92
0980400001,CAP                                                                                                                                                                                                                                                           ,MONTANASO LOMBARDO                                                                                                                                                                                                                                            ,Comune                                                                                                                                                                                                                                                        ,1535877.0,5019968.0,82.67
0980410001,CAP                                                                                                                                                                                                                                                           ,MULAZZANO                                                                                                                                                                                                                                                     ,via Lago Maggiore                                                                                                                                                                                                                                             ,1531414.0,5024506.0,90.43
0980420003,CAP                                                                                                                                                                                                                                                           ,ORIO LITTA                                                                                                                                                                                                                                                    ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820.0,5000952.0,65.02
0980450001,CAP                                                                                                                                                                                                                                                           ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548.0,5013741.0,78.92
0181140002,CAP                                                                                                                                                                                                                                                           ,PIEVE PORTO MORONE                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1534790.0,4995405.0,54.68
0151910009,CAP                                                                                                                                                                                                                                                           ,SAN COLOMBANO AL LAMBRO                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1539965.0,5001295.0,66.78
