PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr [m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.]
VA,ALBIZZATE,PO012002NU0008,30/09/2011,313.8,soggiacenza statica,9.25,304.55
VA,ALBIZZATE,PO012002NU0008,31/10/2011,313.8,soggiacenza statica,9.21,304.59
VA,ALBIZZATE,PO012002NU0008,30/11/2011,313.8,soggiacenza statica,7.1,306.7
VA,ALBIZZATE,PO012002NU0008,31/12/2011,313.8,soggiacenza statica,7.52,306.28
VA,ALBIZZATE,PO012002NU0008,29/01/2012,313.8,soggiacenza statica,7.71,306.09
VA,ALBIZZATE,PO012002NU0008,29/02/2012,313.8,soggiacenza statica,9.36,304.44
VA,ALBIZZATE,PO012002NU0008,31/03/2012,313.8,soggiacenza statica,9.79,304.01
VA,ALBIZZATE,PO012002NU0008,30/04/2012,313.8,soggiacenza statica,7.42,306.38
VA,ALBIZZATE,PO012002NU0008,31/05/2012,313.8,soggiacenza statica,7.94,305.86
VA,ALBIZZATE,PO012002NU0008,30/06/2012,313.8,soggiacenza statica,7.53,306.27
VA,ALBIZZATE,PO012002NU0008,31/07/2012,313.8,soggiacenza statica,8.1,305.7
VA,ALBIZZATE,PO012002NU0008,31/08/2012,313.8,soggiacenza statica,9.61,304.19
VA,ALBIZZATE,PO012002NU0008,27/09/2012,313.8,soggiacenza statica,10.09,303.71
VA,ALBIZZATE,PO012002NU0008,30/10/2012,313.8,soggiacenza statica,11.95,301.85
VA,ALBIZZATE,PO012002NU0008,30/11/2012,313.8,soggiacenza statica,9.27,304.53
VA,ALBIZZATE,PO012002NU0008,31/12/2012,313.8,soggiacenza statica,8.74,305.06
VA,ALBIZZATE,PO012002NU0008,30/01/2013,313.8,soggiacenza statica,8.73,305.07
VA,ALBIZZATE,PO012002NU0008,28/02/2013,313.8,soggiacenza statica,8.75,305.05
VA,ALBIZZATE,PO012002NU0008,30/03/2013,313.8,soggiacenza statica,7.7,306.1
VA,ALBIZZATE,PO012002NU0008,30/07/2013,313.8,soggiacenza statica,9.99,303.81
VA,ALBIZZATE,PO012002NU0008,28/08/2013,313.8,soggiacenza statica,10.34,303.46
VA,ALBIZZATE,PO012002NU0008,30/09/2013,313.8,soggiacenza statica,10.31,303.49
VA,ALBIZZATE,PO012002NU0008,30/10/2013,313.8,soggiacenza statica,10.5,303.3
VA,ALBIZZATE,PO012002NU0008,01/11/2013,313.8,soggiacenza statica,9.95,303.85
VA,ALBIZZATE,PO012002NU0008,30/12/2013,313.8,soggiacenza statica,8.36,305.44
VA,ALBIZZATE,PO012002NU0008,30/01/2014,313.8,soggiacenza statica,7.54,306.26
VA,ALBIZZATE,PO012002NU0008,28/02/2014,313.8,soggiacenza statica,7.48,306.32
VA,ALBIZZATE,PO012002NU0008,28/03/2014,313.8,soggiacenza statica,8.89,304.91
VA,ALBIZZATE,PO012002NU0008,21/04/2014,313.8,soggiacenza statica,7.66,306.14
VA,ALBIZZATE,PO012002NU0008,21/05/2014,313.8,soggiacenza statica,9.43,304.37
VA,ALBIZZATE,PO012002NU0008,28/06/2014,313.8,soggiacenza statica,10.06,303.74
VA,ALBIZZATE,PO012002NU0008,29/07/2014,313.8,soggiacenza statica,7.3,306.5
VA,ALBIZZATE,PO012002NU0008,29/08/2014,313.8,soggiacenza statica,8.21,305.59
VA,ALBIZZATE,PO012002NU0008,29/09/2014,313.8,soggiacenza statica,8.46,305.34
VA,ALBIZZATE,PO012002NU0008,14/10/2014,313.8,soggiacenza statica,8.85,304.95
VA,ALBIZZATE,PO012002NU0008,14/11/2014,313.8,soggiacenza statica,8.6,305.2
VA,ALBIZZATE,PO012002NU0008,14/12/2014,313.8,soggiacenza statica,8.49,305.31
VA,ALBIZZATE,PO012002NU0008,27/01/2015,313.8,soggiacenza statica,7.68,306.12
VA,ALBIZZATE,PO012002NU0008,27/02/2015,313.8,soggiacenza statica,7.49,306.31
VA,ALBIZZATE,PO012002NU0008,29/03/2015,313.8,soggiacenza statica,7.68,306.12
VA,ALBIZZATE,PO012002NU0008,30/04/2015,313.8,soggiacenza statica,10.99,302.81
VA,ALBIZZATE,PO012002NU0008,31/05/2015,313.8,soggiacenza statica,11.25,302.55
VA,ALBIZZATE,PO012002NU0008,30/06/2015,313.8,soggiacenza statica,12.19,301.61
VA,ALBIZZATE,PO012002NU0008,30/07/2015,313.8,soggiacenza statica,13.44,300.36
VA,ALBIZZATE,PO012002NU0008,31/08/2015,313.8,soggiacenza statica,13.67,300.13
VA,ALBIZZATE,PO012002NU0008,30/09/2015,313.8,soggiacenza statica,13.7,300.1
VA,ALBIZZATE,PO012002NU0008,31/10/2015,313.8,soggiacenza statica,12.99,300.81
VA,ALBIZZATE,PO012002NU0008,29/11/2015,313.8,soggiacenza statica,13.96,299.84
VA,ALBIZZATE,PO012002NU0008,29/12/2015,313.8,soggiacenza statica,14.62,299.18
VA,ALBIZZATE,PO012002NU0008,28/01/2016,313.8,soggiacenza statica,16.07,297.73
VA,ALBIZZATE,PO012002NU0008,28/02/2016,313.8,soggiacenza statica,14.43,299.37
