CODICE,x,y,z,ORIGINE
0151461161,1515891,5032769,112.95,Idroscalo2005
0151461288,1517575,5036030,116.77,Idroscalo2005
0151461289,1517577,5035266,117.09,Idroscalo2005
0151461312,1518944,5036552,118.08,Idroscalo2005
0151461313,1519749,5037968,119.3,Idroscalo2005
0151461353,1519886,5033923,109.14,Idroscalo2005
0151461354,1519281,5032319,108.03,Idroscalo2005
0151461374,1517457,5031771,109.77,Idroscalo2005
0151461375,1519348,5030874,104.48,Idroscalo2005
0151461376,1517545,5031732,109.67,Idroscalo2005
0151461377,1515739,5030897,108.91,Idroscalo2005
0151461378,1515279,5031516,111.91,Idroscalo2005
0151461379,1518799,5029419,103.4,Idroscalo2005
0151461380,1516219,5028889,105.68,Idroscalo2005
0151461557,1514440,5036837,123.52,Idroscalo2005
0151462108,1515164,5031733,112.06,Idroscalo2005
0151462109,1517600,5033204,111.27,Idroscalo2005
0151462111,1515221,5034490,119.33,Idroscalo2005
0151462112,1516498,5033404,114.04,Idroscalo2005
0151462113,1518418,5035022,113.51,Idroscalo2005
0151462114,1517216,5035975,117.48,Idroscalo2005
0151462115,1516475,5038843,129.97,Idroscalo2005
0151462121,1517408,5037218,121.12,Idroscalo2005
0151462122,1519827,5033846,108.66,Idroscalo2005
0151462123,1517501,5031294,108.98,Idroscalo2005
0151710197,1522946,5032854,105.61,Idroscalo2005
0151750006,1525252,5038044,119.5,Idroscalo2005
0151750008,1525340,5039735,125.0,Idroscalo2005
0151750289,1525025,5036125,113.14,Idroscalo2005
0151750291,1525340,5039735,125.0,Idroscalo2005
0151920005,1520822,5030727,103.51,Idroscalo2005
0152050007,1521059,5038729,122.74,Idroscalo2005
0152050138,1523055,5035090,110.72,Idroscalo2005
0152420041,1521660,5039578,124.92,Idroscalo2005
