codice,x,y,anno,mese,misura livello (metri da p.c.),Quota rifgerimento [m],Piezometria [m s.l.m.]
0151461161,1515891,5032769,1996,1,9.10,112.95,103.85
0151461161,1515891,5032769,1996,2,8.90,112.95,104.05
0151461161,1515891,5032769,1996,3,9.20,112.95,103.75
0151461161,1515891,5032769,1996,4,9.20,112.95,103.75
0151461161,1515891,5032769,1996,5,9.20,112.95,103.75
0151461161,1515891,5032769,1996,6,9.30,112.95,103.65
0151461161,1515891,5032769,1996,7,8.90,112.95,104.05
0151461161,1515891,5032769,1996,8,8.20,112.95,104.75
0151461161,1515891,5032769,1996,9,8.40,112.95,104.55
0151461161,1515891,5032769,1996,10,8.20,112.95,104.75
0151461161,1515891,5032769,1996,11,8.20,112.95,104.75
0151461161,1515891,5032769,1996,12,7.10,112.95,105.85
0151461161,1515891,5032769,1997,1,9.20,112.95,103.75
0151461161,1515891,5032769,1997,2,7.70,112.95,105.25
0151461161,1515891,5032769,1997,3,7.85,112.95,105.10
0151461161,1515891,5032769,1997,4,8.20,112.95,104.75
0151461161,1515891,5032769,1997,5,8.10,112.95,104.85
0151461161,1515891,5032769,1997,6,7.80,112.95,105.15
0151461161,1515891,5032769,1997,7,7.40,112.95,105.55
0151461161,1515891,5032769,1997,8,7.30,112.95,105.65
0151461161,1515891,5032769,1997,9,7.10,112.95,105.85
0151461161,1515891,5032769,1997,10,7.30,112.95,105.65
0151461161,1515891,5032769,1997,11,7.00,112.95,105.95
0151461161,1515891,5032769,1997,12,7.10,112.95,105.85
0151461161,1515891,5032769,1998,1,6.80,112.95,106.15
0151461161,1515891,5032769,1998,2,6.80,112.95,106.15
0151461161,1515891,5032769,1998,3,7.10,112.95,105.85
0151461161,1515891,5032769,1998,4,7.00,112.95,105.95
0151461161,1515891,5032769,1998,5,7.10,112.95,105.85
0151461161,1515891,5032769,1998,6,6.80,112.95,106.15
0151461161,1515891,5032769,1998,7,6.90,112.95,106.05
0151461161,1515891,5032769,1998,8,6.85,112.95,106.10
0151461161,1515891,5032769,1998,9,7.20,112.95,105.75
0151461161,1515891,5032769,1998,10,7.55,112.95,105.40
0151461161,1515891,5032769,1998,11,8.10,112.95,104.85
0151461161,1515891,5032769,1998,12,8.20,112.95,104.75
0151461161,1515891,5032769,1999,1,7.90,112.95,105.05
0151461161,1515891,5032769,1999,2,8.20,112.95,104.75
0151461161,1515891,5032769,1999,3,8.40,112.95,104.55
0151461161,1515891,5032769,1999,4,8.50,112.95,104.45
0151461161,1515891,5032769,1999,5,9.00,112.95,103.95
0151461161,1515891,5032769,1999,6,9.00,112.95,103.95
0151461161,1515891,5032769,1999,7,8.90,112.95,104.05
0151461161,1515891,5032769,1999,8,8.50,112.95,104.45
0151461161,1515891,5032769,1999,9,8.30,112.95,104.65
0151461161,1515891,5032769,1999,10,8.10,112.95,104.85
0151461161,1515891,5032769,1999,11,7.70,112.95,105.25
0151461161,1515891,5032769,1999,12,8.40,112.95,104.55
0151461161,1515891,5032769,2000,1,8.80,112.95,104.15
0151461161,1515891,5032769,2000,2,9.00,112.95,103.95
0151461161,1515891,5032769,2000,3,9.50,112.95,103.45
0151461161,1515891,5032769,2000,4,9.70,112.95,103.25
0151461161,1515891,5032769,2000,5,9.70,112.95,103.25
0151461161,1515891,5032769,2000,6,9.70,112.95,103.25
0151461161,1515891,5032769,2000,7,9.40,112.95,103.55
0151461161,1515891,5032769,2000,8,9.35,112.95,103.60
0151461161,1515891,5032769,2000,9,9.00,112.95,103.95
0151461161,1515891,5032769,2000,10,9.00,112.95,103.95
0151461161,1515891,5032769,2000,11,9.00,112.95,103.95
0151461161,1515891,5032769,2000,12,8.90,112.95,104.05
0151461161,1515891,5032769,2001,1,8.30,112.95,104.65
0151461161,1515891,5032769,2001,2,8.50,112.95,104.45
0151461161,1515891,5032769,2001,3,8.40,112.95,104.55
0151461161,1515891,5032769,2001,4,8.50,112.95,104.45
0151461161,1515891,5032769,2001,5,8.10,112.95,104.85
0151461161,1515891,5032769,2001,6,8.40,112.95,104.55
0151461161,1515891,5032769,2001,7,8.60,112.95,104.35
0151461161,1515891,5032769,2001,8,8.20,112.95,104.75
0151461161,1515891,5032769,2001,9,8.10,112.95,104.85
0151461161,1515891,5032769,2001,10,8.00,112.95,104.95
0151461161,1515891,5032769,2001,11,8.00,112.95,104.95
0151461161,1515891,5032769,2001,12,8.40,112.95,104.55
