field_1,CODICE,ORIGINE,lat,lon,COD_PTUA16,NOME_CI,SHAPE_AREA
"0","151461312",FOG,45.482041975093,9.24225880962577,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"1","151461161",FOG,45.4478429462667,9.20273935926081,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"6","151461535",FOG,45.5035407983544,9.11999312547062,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"7","151461119",FOG,45.4540876836824,9.17679987634677,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"8","151461536",FOG,45.4836018945368,9.15179952977263,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"12","151461162",FOG,45.4520124148543,9.17421010622852,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"15","151461534",FOG,45.5152047301141,9.12945358730713,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"16","151461120",FOG,45.4588809512839,9.17371960918602,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"17","151461121",FOG,45.4668968647368,9.17039268567994,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"18","151461313",FOG,45.4946565305018,9.25280738489511,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"19","151461353",FOG,45.4572655661612,9.25316485105223,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"22","151461495",FOG,45.4920878190313,9.10550750169044,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"26","151461354",FOG,45.4437258574178,9.24589264708829,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"27","151461557",FOG,45.4849225249233,9.18417707327183,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,1634782393.76999998093
"2","151461374",FOG,45.4386151507625,9.22300986337314,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"3","151461375",FOG,45.4310320498017,9.24696257592086,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"4","151461435",FOG,45.438465761565,9.12624827568738,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"5","151461376",FOG,45.4387938226344,9.22370098957773,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"9","151461486",FOG,45.4625034711582,9.12989603645991,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"10","151461462",FOG,45.4500669533025,9.14257899622725,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"11","151461417",FOG,45.4401192647598,9.17601474493256,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"13","151461377",FOG,45.4313561946703,9.20092902146395,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"14","151461378",FOG,45.4369103644686,9.1954382810756,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"20","151461379",FOG,45.4176175130544,9.23987471083387,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"21","151461487",FOG,45.4642002026275,9.08707445022652,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"23","151461496",FOG,45.49397322987,9.07771354177746,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"24","151461488",FOG,45.47755643281,9.08873262042335,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
"25","151461489",FOG,45.4486485432898,9.07091235179406,IT03GWBISSMPTLN,Corpo idrico sotterraneo superficiale di Media pianura Bacino Nord Ticino - Lambro,569146405.54200005531
