Codice_SIF,PIEZOMETRO,UBICAZIONE,Coord_X,Coord_Y,DATA MISURA,ANNO,SOGGIACENZA,RIFERIMENTO,PIEZOMETRIA
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1951,1951,4.39,118.65,114.26
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/02/1951,1951,5.33,118.65,113.32
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1951,1951,5.52,118.65,113.13
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/03/1951,1951,5.72,118.65,112.93
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/08/1951,1951,5.76,118.65,112.89
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/01/1952,1952,5.76,118.65,112.89
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/01/1951,1951,5.77,118.65,112.88
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/10/1950,1950,5.87,118.65,112.78
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/07/1951,1951,5.88,118.65,112.77
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1951,1951,5.89,118.65,112.76
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1950,1950,5.9,118.65,112.75
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/06/1951,1951,5.9,118.65,112.75
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1952,1952,5.97,118.65,112.68
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/07/1950,1950,5.99,118.65,112.66
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1953,1953,5.99,118.65,112.66
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/02/1952,1952,6.01,118.65,112.64
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/04/1951,1951,6.02,118.65,112.63
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/10/1951,1951,6.04,118.65,112.61
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1950,1950,6.06,118.65,112.59
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/05/1951,1951,6.07,118.65,112.58
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1952,1952,6.09,118.65,112.56
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1950,1950,6.11,118.65,112.54
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1952,1952,6.11,118.65,112.54
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/10/1952,1952,6.16,118.65,112.49
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/04/1956,1956,6.18,118.65,112.47
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/08/1952,1952,6.19,118.65,112.46
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/06/1952,1952,6.21,118.65,112.44
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/08/1950,1950,6.25,118.65,112.4
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1953,1953,6.27,118.65,112.38
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/06/1954,1954,6.27,118.65,112.38
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/03/1952,1952,6.28,118.65,112.37
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/05/1952,1952,6.29,118.65,112.36
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/01/1953,1953,6.29,118.65,112.36
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/04/1953,1953,6.33,118.65,112.32
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1954,1954,6.33,118.65,112.32
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/07/1954,1954,6.38,118.65,112.27
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/07/1952,1952,6.44,118.65,112.21
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1954,1954,6.44,118.65,112.21
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/01/1954,1954,6.45,118.65,112.2
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/08/1954,1954,6.5,118.65,112.15
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/02/1953,1953,6.56,118.65,112.09
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/04/1952,1952,6.57,118.65,112.08
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/10/1953,1953,6.57,118.65,112.08
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/02/1954,1954,6.58,118.65,112.07
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/10/1954,1954,6.6,118.65,112.05
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/08/1953,1953,6.67,118.65,111.98
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/05/1954,1954,6.68,118.65,111.97
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/01/1955,1955,6.68,118.65,111.97
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1954,1954,6.71,118.65,111.94
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/11/1957,1957,6.71,118.65,111.94
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1953,1953,6.72,118.65,111.93
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/09/1955,1955,6.79,118.65,111.86
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/03/1954,1954,6.81,118.65,111.84
151461312,FOG14,SCUOLE LAMBRATE - VIA CONTE ROSSO,1518961,5036550,01/12/1959,1959,6.81,118.65,111.84
