,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,mag-01
0,CO,MOZZATE , Aqua Seprio spa   pozzo 4,1 (2),via Libertà,1495999.0,5058550.0,262.6,,X,2,,
1,CO,CARBONATE ,Acqua Serpio spa,1,via Giovanni XXIII,,,186.0,,,,,
2,CO,APPIANO GENTILE , Comune,7,Via Mazzini,1498475.0,5064290.0,352.0,,,2,,
3,CO,TURATE , Comune   pozzo 6,2(3),C.I.E. n.2,1501039.0,5054988.0,234.0,,X,2,,
4,CO,ROVELLASCA , Cons. Lura Ambiente   pozzo 2,3(5),via Dante,1504185.0,5057342.0,247.0,,X,MISTA,,
5,CO,LIMIDO COMASCO , Antiga Spa   pozzo 2,5,via Vicolo Scalini,1498324.0,5059851.0,280.0,,X,2,,
6,CO,BULGAROGRASSO, Az. Colline Comasche pozzo 1,6(8),via Montichiari,1500420.0,5065600.0,327.0,,X,2,,
7,CO,BREGNANO , Cons. Lura Ambiente   pozzo 6,7(9),loc. Puginate,1503775.0,5061925.0,285.0,,X,2,,
8,CO,FINO MORNASCO , Az.Colline Comasche   pozzo 2,8(10),Cascina Pazzea,1504625.0,5065990.0,299.0,,X,2,,
9,CO,BINAGO , Comune   pozzo Acacie 3,13(19),via delle Acacie,1492848.0,5069930.0,373.0,,X,2,,
10,CO,OLGIATE COMASCO , Comune,20,via Repubblica,1498015.0,5068805.0,398.0,,,,,
11,CO,OLTRONA DI SAN MAMETTE , Az. Colline Comasche,14(21),Margè,1497860.0,5067095.0,373.0,,X,2,,
12,CO,ROVELLO PORRO , Consorzio Lura Ambiente spa,4,Via don Ballabio,1503030.0,5056525.0,245.0,,,,,
13,CO,ROVELLO PORRO , Cons. Lura Ambiente   pozzo 3,017(1bis),via General Porro,1503100.0,5055090.0,235.0,,X,3,,
14,CO,CERMENATE , Consorzio Lura Ambiente spa,11,Via I Maggio,1505880.0,5060468.0,285.0,,,,,
15,CO,CERMENATE , Cons. Lura ambiente   pozzo 2,018(2bis),via Petrarca,1506475.0,5061530.0,305.0,,X,2/3,,
16,MI - Par.,LAINATE,,0151160008,Lainate Caronasca,1502320.0,5047210.0,180.0,,X,2,,161.8
17,MI - Par.,LAZZATE,,0151170003,via S.Lorenzo-serb.,1506594.0,5058727.0,188.9,,X,2,,121.2
18,MI - Par.,NERVIANO,,0151540065,Cantone 65,1498320.0,5043055.0,166.0,,X,3,,155.1
19,MI - Par.,RESCALDINA,,0151810001,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,,X,1,,142.45
20,MI - Par.,RHO,,0151820106,Alumix spa via S.Martino,1503760.0,5039860.0,138.59,,,1,,131.49
21,MI - Par.,SOLARO,,0152130021,via  S.Paolo,1506736.0,5051480.0,208.0,,X,3,,164.0
22,VA,ARCISATE,,PO012004NU0001,via Piave,1489675.0,5078705.0,362.22,,X,SUPERF. (acquifero locale),,360.38
23,VA,BUSTO A.,,PO1202602103T0,ZONA INDUSTRIALE,1486405.0,5048283.0,210.5,,,,,
24,VA,BUSTO A.,,PO1202602103T0,via Marco Polo,1486405.0,5048283.0,210.5,,X,SUPERF.,,177.93
25,VA,BUSTO A.,,PO012026NU3021,Via MARZALI MARZOLI,1486405.0,5048283.0,210.5,,X,,,
26,VA,CARONNO P.,,PO012034NU0006,via della Vittoria,1503390.0,5049745.0,192.5,,X,MISTA,,169.7
27,VA,GALLARATE,,PO012070NU0009,via Alberone - via Ferrari,1483140.0,5055620.0,235.0,,X,SUPERF. (acquifero locale),,
28,VA,GALLARATE,,PO012070NU1022,via Monte S. Martino,1482360.0,5058150.0,271.0,,X,MISTA,,203.3
29,VA,GERENZANO,,PO0120750R2020,Discarica - controllo,1497940.0,5052150.0,220.65,,X,SUPERF.,,187.25
30,VA,VENEGONO I.,,PO012136NU0001,via Sordelli 1,1492370.0,5064980.0,323.5,,X,MISTA,,
