CODICE,PROV,COMUNE,DENOMINAZIONE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,ORIGINE
1 (2),CO,MOZZATE , Aqua Seprio spa   pozzo 4,via Libertà,1495999.0,5058550.0,262.6,,X,2,,OLONA
1,CO,CARBONATE ,Acqua Serpio spa,via Giovanni XXIII,,,186.0,,,,,OLONA
7,CO,APPIANO GENTILE , Comune,Via Mazzini,1498475.0,5064290.0,352.0,,,2,,OLONA
2(3),CO,TURATE , Comune   pozzo 6,C.I.E. n.2,1501039.0,5054988.0,234.0,,X,2,,OLONA
3(5),CO,ROVELLASCA , Cons. Lura Ambiente   pozzo 2,via Dante,1504185.0,5057342.0,247.0,,X,MISTA,,OLONA
5,CO,LIMIDO COMASCO , Antiga Spa   pozzo 2,via Vicolo Scalini,1498324.0,5059851.0,280.0,,X,2,,OLONA
6(8),CO,BULGAROGRASSO, Az. Colline Comasche pozzo 1,via Montichiari,1500420.0,5065600.0,327.0,,X,2,,OLONA
7(9),CO,BREGNANO , Cons. Lura Ambiente   pozzo 6,loc. Puginate,1503775.0,5061925.0,285.0,,X,2,,OLONA
8(10),CO,FINO MORNASCO , Az.Colline Comasche   pozzo 2,Cascina Pazzea,1504625.0,5065990.0,299.0,,X,2,,OLONA
13(19),CO,BINAGO , Comune   pozzo Acacie 3,via delle Acacie,1492848.0,5069930.0,373.0,,X,2,,OLONA
20,CO,OLGIATE COMASCO , Comune,via Repubblica,1498015.0,5068805.0,398.0,,,,,OLONA
14(21),CO,OLTRONA DI SAN MAMETTE , Az. Colline Comasche,Margè,1497860.0,5067095.0,373.0,,X,2,,OLONA
4,CO,ROVELLO PORRO , Consorzio Lura Ambiente spa,Via don Ballabio,1503030.0,5056525.0,245.0,,,,,OLONA
017(1bis),CO,ROVELLO PORRO , Cons. Lura Ambiente   pozzo 3,via General Porro,1503100.0,5055090.0,235.0,,X,3,,OLONA
11,CO,CERMENATE , Consorzio Lura Ambiente spa,Via I Maggio,1505880.0,5060468.0,285.0,,,,,OLONA
018(2bis),CO,CERMENATE , Cons. Lura ambiente   pozzo 2,via Petrarca,1506475.0,5061530.0,305.0,,X,2/3,,OLONA
0151160008,MI - Par.,LAINATE,,Lainate Caronasca,1502320.0,5047210.0,180.0,,X,2,,OLONA
0151170003,MI - Par.,LAZZATE,,via S.Lorenzo-serb.,1506594.0,5058727.0,188.9,,X,2,,OLONA
0151540065,MI - Par.,NERVIANO,,Cantone 65,1498320.0,5043055.0,166.0,,X,3,,OLONA
0151810001,MI - Par.,RESCALDINA,,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,,X,1,,OLONA
0151820106,MI - Par.,RHO,,Alumix spa via S.Martino,1503760.0,5039860.0,138.59,,,1,,OLONA
0152130021,MI - Par.,SOLARO,,via  S.Paolo,1506736.0,5051480.0,208.0,,X,3,,OLONA
PO012004NU0001,VA,ARCISATE,,via Piave,1489675.0,5078705.0,362.22,,X,SUPERF. (acquifero locale),,OLONA
PO1202602103T0,VA,BUSTO A.,,via Marco Polo,1486405.0,5048283.0,210.5,,X,SUPERF.,,OLONA
PO012034NU0006,VA,CARONNO P.,,via della Vittoria,1503390.0,5049745.0,192.5,,X,MISTA,,OLONA
PO012070NU0009,VA,GALLARATE,,via Alberone - via Ferrari,1483140.0,5055620.0,235.0,,X,SUPERF. (acquifero locale),,OLONA
PO012070NU1022,VA,GALLARATE,,via Monte S. Martino,1482360.0,5058150.0,271.0,,X,MISTA,,OLONA
PO0120750R2020,VA,GERENZANO,,Discarica - controllo,1497940.0,5052150.0,220.65,,X,SUPERF.,,OLONA
PO012136NU0001,VA,VENEGONO I.,,via Sordelli 1,1492370.0,5064980.0,323.5,,X,MISTA,,OLONA
