PROV,COMUNE - DENOMINAZIONE,CODICE,CODICE ACQUAGEST,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03,mag-03,giu-03,lug-03,ago-03
CO,MOZZATE - Aqua Seprio spa - pozzo 4,1 (2),,via Libertà,1495999,5058550,262.6,,X,2,,,,,,224.30,223.70,224.00,224.60,,225.90,226.00,226.00,226.10,,,226.80,226.60,226.50,,226.50,227.8,227.6,228.5,228,,228.1,,
CO,CARBONATE -Acqua Serpio spa,1,,via Giovanni XXIII,,,186.00,,,,,,,,,,224.10,223.90,224.00,,,,,,,,,,,,,,,,,,,,
CO,APPIANO GENTILE - Comune,7,,Via Mazzini,1498475,5064290,352.00,,,2,,,,,,,,262.70,263.86,,,,,,,,,,,,,,,,,,,,
CO,TURATE - Comune - pozzo 6,2(3),,C.I.E. n.2,1501039,5054988,234,,X,2,,,,,,188.85,,195.40,195.40,,,192.41,192.41,192.34,192.31,192.78,193.06,193.16,187.18,187.18,187.96,189.16,189.58,189.48,189.27,n.d,188.48,188.4,188.07
CO,ROVELLASCA - Cons. Lura Ambiente - pozzo 2,3(5),,via Dante,1504185,5057342,247,,X,MISTA,,,,,,198.5,197.9,,,,197.90,197.50,197.20,197.10,,,,,197.20,199.50,199.60,199.8,199.9,199.5,199.48,"199,3",197.8,,
CO,LIMIDO COMASCO - Antiga Spa - pozzo 2,5,,via Vicolo Scalini,1498324,5059851,280,,X,2,,,,,,,,,,,230.06,230.05,229.81,229.82,230.01,229.97,229.79,229.93,229.55,230.15,230.81,231.18,231.6,231.67,231.9,"231,75",231.38,231.14,230.63
CO,BULGAROGRASSO- Az. Colline Comasche-pozzo 1,6(8),,via Montichiari,1500420,5065600,327,,X,2,,,,,,274.00,,273.80,,,284.70,284.71,284.20,286.69,286.95,285.32,,,,288.45,286.92,n.d. xxx,n.d. ***,n.d. ***,n.d. ***,,,,
CO,BREGNANO - Cons. Lura Ambiente - pozzo 6,7(9),,loc. Puginate,1503775,5061925,285,,X,2,,,227.80,,,229.20,229.20,,,,228.50,228.60,228.40,228.40,,,,,230.30,228.30,228.20,228.1,228.1,228.4,228.6,"228,6",226.9,,
CO,FINO MORNASCO - Az.Colline Comasche - pozzo 2,8(10),,Cascina Pazzea,1504625,5065990,299,,X,2,,,285.6,,,284,284.6,284.30,285.14,,282.63,283.69,284.00,286.43,286.03,285.41,284.45,284.37,283.53,290.53,288.73,286.69,285.13,283.93,282.97,283.52,282.6,,
CO,BINAGO - Comune - pozzo Acacie 3,13(19),,via delle Acacie,1492848,5069930,373,,X,2,,,,,,361.20,,361.00,360.60,,361.82,362.44,363.98,363.86,363.04,362.84,362.44,363.19,362.59,,364.04,363.22,362.87,362.54,,,,,361.75
