CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
150050010,ALBAIRATE,1495936,5028883,123.16,C.na Faustina PRIV.,MI - Par.,,1,15
150070002,ARCONATE,1488407,5043208,153.87,via Turati,MI,,,10
150090004,ARESE,1504650,5045148,149.23,C.na Valera II,,,,
150090032,ARESE,1506861,5042594,152.19,Industrie,,,,
150090035,ARESE,1505759,5044226,166,Platani,,,,
150110002,ASSAGO,1509950,5028450,103.25,via Roma II - serb.,,,,
150110058,ASSAGO,1510350,5028205,107.8,Dalla Chiesa,,,,
150110059,ASSAGO,1510350,5028205,107.8,v.Dalla Chiesa piez,,,,
150130002,BARLASSINA,1510160,5055880,179.91,p.za Cavour,,,,
150140004,BASIANO,1536076,5047733,170.91,Serbatoio,,,,
150150001,BASIGLIO,1512870,5021820,96.7,p.za M.Rossi-Chiesa,MI - Città,X,1,19
150150005,BASIGLIO,1512090,5023725,100,Vivaldi,MI - Città,X,3,19
150170002,BELLUSCO,1532607,5051591,181.17,p.za Fumagalli,,,,
180140001,BEREGUARDO,1501810,5011415,94.3,via Negri,,,,
150180001,BERNAREGGIO,1531802,5054950,196.68,p.za Repubblica,,,,
150190001,BERNATE TICINO,1486570,5037860,139.53,v.Pellico-Casate,MI - Par.,X,1,15
980020002,BERTONICO,1552858,5009264,46.44,via Garibaldi,LO,X,2,24
150240004,BINASCO,1507371,5020189,99.98,Binaschino,,,,
150270003,BOLLATE,1510995,5045425,134.04,C.na Nuova-Caracciolo,,,,
150270001,BOLLATE,1509260,5043610,130.18,via A.da Bollate-serb.,,,,
980040007,BORGHETTO,1539108,5004665,53,LODIGIANO Casoni 3,,,,
150320001,BRESSO,1515240,5041885,115.86,via Don Vercesi,,,,
150340123,BRUGHERIO,1523293,5042878,139,FEM V. Volano,,,,
150340005,BRUGHERIO,1524850,5044860,128.39,v.S.Francesco,,,,
150350003,BUBBIANO,1501102,5019562,104.19,v. Noè,MI - Par.,X,3,19
150360006,BUCCINASCO,1507897,5028482,106.76,Rovido,,,,
150360002,BUCCINASCO,1508477,5029887,107.39,v. Lario,MI - Par.,X,2,19
150420002,CALVIGNASCO,1501581,5019920,104.25,Municipio,,,,
980070001,CAMAIRAGO,1556980,5006056,47.85,via 4 Novembre,,,,
150480015,CARATE BRIANZA,1517795,5058469,212.95,Villa-via all'Isola,,,,
150490001,CARNATE,1529550,5055100,191.03,via Pace - serb.,,,,
150490021,CARNATE,1529290,5054175,215.23,Grandi nuovo,,,,
150490019,CARNATE,1529290,5054175,215.23,Grandi x Usmate,,,,
150500002,CARPIANO DELLE ARTI,1521237,5020702,92.16,,,,,
150510004,CARUGATE,1527899,5044408,124.9,C.na Valera,,,,
980100003,CASALPUSTERLENGO,1550786,5003618,54.95,via Cadorna,,,,
980110001,CASELLE LANDI,1562239,4994652,45.34,via Roma I,,,,
150590001,CASSANO D'ADDA,1540400,5041280,112.69,Muzza I-5 Martiri,MI - Città,,1,18
150610001,CASSINETTA DI LUGAGNANO,1493070,5030100,122,via Pace-serb.,,,,
980130001,CASTELNUOVO BOCCA D'ADDA,1568202,4995450,36.1,via Cairoli serb.,,,,
980150003,CASTIRAGA VIDARDO,1530789,5012188,67.95,C.na Pollarana,,,,
980170003,CAVENAGO D'ADDA,1547241,5014694,70.73,v.Valsecchi serb.,LO,X,1,21
980170064,CAVENAGO D'ADDA,1544810,5014760,73,Soltarico,LO,,,21
150680002,CAVENAGO BRIANZA,1532390,5048020,142.43,p.za Libertà - serb.,,,,
150700004,CERNUSCO SUL NAVIGLIO,1526360,5041939,119.57,v. Verdi,,,,
980180001,CERVIGNANO D'ADDA,1533303,5024632,81.68,p.za Caduti,LO,X,1,21
150740007,CESANO BOSCONE,1507180,5032490,120.48,v.Picozzi,,,,
150760001,CESATE,1505534,5048445,159.88,Vill.INA,,,,
150760010,CESATE,1505534,5048445,161.53,Vill.INA p spia,,,,
150760003,CESATE,1506301,5049212,160.2,v.Caravaggio-serb,,,,
150770004,CINISELLO BALSAMO,1517130,5043632,120.1,via Canzio I,,,,
150770018,CINISELLO BALSAMO,1517120,5045500,125.75,via Paisiello,,,,
150770073,CINISELLO BALSAMO,1517875,5045125,128.85,via Petrella,MI - MONZA,,,13
150770022,CINISELLO BALSAMO,1519400,5044677,150,Galilei,,,,
150770023,CINISELLO BALSAMO,1519400,5044677,150,Galilei,MI - MONZA,X,3,13
150770006,CINISELLO BALSAMO,1518408,5044351,150.04,v.Matteotti,,,,
150780002,CISLIANO,1499356,5032255,124.78,v.Vitt.Veneto-serb.,,,,
150810004,COLOGNO MONZESE,1521480,5042960,119.53,v.Levi-Lombardia,,,,
150810069,COLOGNO MONZESE,1522264,5042813,138.53,v.Paganini,,,,
980200001,COMAZZO,1536534,5032132,93.02,p.za Caduti,LO,X,2,21
150840002,CONCOREZZO,1525400,5046340,137.97,S.P.13 Malcantone,MI,,,9
150840024,CONCOREZZO,1526728,5049528,,v.Pascoli,,,,
150850004,CORBETTA,1494180,5034180,132.09,v.Veneto x Batuello,MI - Par.,X,1,15
150850002,CORBETTA,1493533,5035152,139.86,v.Oberdan,,,,
150860002,CORMANO,1512580,5043085,121.54,via Somalia,,,,
150870001,CORNAREDO,1501530,5037775,136.84,Campo Sportivo I,MI - Par.,,1,16
150870003,CORNAREDO,1501081,5036901,134.57,v.Marconi,,,,
980230001,CORNOVECCHIO,1562792,5056473,40.29,Municipio,,,,
150920001,CORREZZANA,1523496,5056835,214.84,via S.Francesco,,,,
150920003,CORREZZANA,1523723,5056321,247.15,v.Fermi,MI - MONZA,X,3,4
150960014,CUGGIONO,1485070,5040190,147.96,via Somma-Zucchi,,,,
150970003,CUSAGO,1502660,5033450,127.1,v.Cervi fino a 5/99 p.1,MI - Par.,X,3,16
150980004,CUSANO MILANINO,1513764,5043930,159.29,p.Italia,,,,
150980028,CUSANO MILANINO,1514126,5044416,152.11,v.Pedretti,,,,
151000003,DESIO,1516295,5051936,146.19,via Torricelli,MI - MONZA,X,1,8
980260002,FOMBIO,1554292,4998880,42.26,via Giovanni XXIII,LO,X,2,24
151050002,GARBAGNATE,1505950,5046890,153.19,v.Varese I-scuole,,,,
