CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
1 (2),MOZZATE,1495999.0,5058550.0,262.6,via Libertà  Aqua Seprio spa   pozzo 4,CO,X,2,2.0
010 (14),CANTÙ,1509350.0,5065650.0,305.0,Cascna S.Antonino  Canturina Servizi spa   pozzo S. Antonino,CO,X,2,3.0
11,CERMENATE,1505880.0,5060468.0,285.0,Via I Maggio  Consorzio Lura Ambiente spa,CO,,,2.0
11(15),BRENNA,1514972.0,5064371.0,342.0,Loc. Pozzolo  Soc. Pragma Spa   pozzo 3,CO,X,2,2.0
12,BELGIOIOSO,1523740.0,5000800.0,75.8,via Dante  5,PV,X,1,22.0
12(17),CABIATE,1514195.0,5057470.0,237.0,via Buozzi  S.E.T. srl   pozzo 1,CO,X,2,3.0
13(19),BINAGO,1492848.0,5069930.0,373.0,via delle Acacie  Comune   pozzo Acacie 3,CO,X,2,2.0
14(21),OLTRONA DI SAN MAMETTE,1497860.0,5067095.0,373.0,Margè  Az. Colline Comasche,CO,X,2,2.0
015 (22),CAPIAGO INTIMIANO,1510495.0,5068940.0,420.0,Via Roma Az.Colline Com. pozzo Guastone 1,CO,X,2,3.0
0150050010,ALBAIRATE,1495936.0,5028883.0,123.16,C.na Faustina PRIV.,MI - Par.,,1,15.0
0150070002,ARCONATE,1488407.0,5043208.0,153.87,via Turati,MI,,,10.0
0150090004,ARESE,1504650.0,5045148.0,149.23,C.na Valera II,,,,
0150090032,ARESE,1506861.0,5042594.0,152.19,Industrie,,,,
0150090035,ARESE,1505759.0,5044226.0,166.0,Platani,,,,
0150110002,ASSAGO,1509950.0,5028450.0,103.25,via Roma II - serb.,,,,
0150110059,ASSAGO,1510350.0,5028205.0,107.8,v.Dalla Chiesa piez,,,,
0150130002,BARLASSINA,1510160.0,5055880.0,179.91,p.za Cavour,,,,
0150140004,BASIANO,1536076.0,5047733.0,170.91,Serbatoio,,,,
0150150001,BASIGLIO,1512870.0,5021820.0,96.7,p.za M.Rossi-Chiesa,MI - Città,X,1,19.0
0150150005,BASIGLIO,1512090.0,5023725.0,100.0,Vivaldi,MI - Città,X,3,19.0
0150170002,BELLUSCO,1532607.0,5051591.0,181.17,p.za Fumagalli,,,,
0150180001,BERNAREGGIO,1531802.0,5054950.0,196.68,p.za Repubblica,,,,
0150190001,BERNATE TICINO,1486570.0,5037860.0,139.53,v.Pellico-Casate,MI - Par.,X,1,15.0
0150240004,BINASCO,1507371.0,5020189.0,99.98,Binaschino,,,,
0150270001,BOLLATE,1509260.0,5043610.0,130.18,via A.da Bollate-serb.,,,,
0150270003,BOLLATE,1510995.0,5045425.0,134.04,C.na Nuova-Caracciolo,,,,
0150320001,BRESSO,1515240.0,5041885.0,115.86,via Don Vercesi,,,,
0150340005,BRUGHERIO,1524850.0,5044860.0,128.39,v.S.Francesco,,,,
0150340123,BRUGHERIO,1523293.0,5042878.0,139.0,FEM V. Volano,,,,
0150350003,BUBBIANO,1501102.0,5019562.0,104.19,v. Noè,MI - Par.,X,3,19.0
0150360002,BUCCINASCO,1508477.0,5029887.0,107.39,v. Lario,MI - Par.,X,2,19.0
0150360006,BUCCINASCO,1507897.0,5028482.0,106.76,Rovido,,,,
0150420002,CALVIGNASCO,1501581.0,5019920.0,104.25,Municipio,,,,
0150480015,CARATE BRIANZA,1517795.0,5058469.0,212.95,Villa-via all'Isola,,,,
0150490001,CARNATE,1529550.0,5055100.0,191.03,via Pace - serb.,,,,
0150500002,CARPIANO DELLE ARTI,1521237.0,5020702.0,92.16,,,,,
0150510004,CARUGATE,1527899.0,5044408.0,124.9,C.na Valera,,,,
0150590001,CASSANO D'ADDA,1540400.0,5041280.0,112.69,Muzza I-5 Martiri,MI - Città,,1,18.0
0150610001,CASSINETTA DI LUGAGNANO,1493070.0,5030100.0,122.0,via Pace-serb.,,,,
0150680002,CAVENAGO BRIANZA,1532390.0,5048020.0,142.43,p.za Libertà - serb.,,,,
0150700004,CERNUSCO SUL NAVIGLIO,1526360.0,5041939.0,119.57,v. Verdi,,,,
0150740007,CESANO BOSCONE,1507180.0,5032490.0,120.48,v.Picozzi,,,,
0150760003,CESATE,1506301.0,5049212.0,160.2,v.Caravaggio-serb,,,,
0150760010,CESATE,1505534.0,5048445.0,161.53,Vill.INA p spia,,,,
0150770004,CINISELLO BALSAMO,1517130.0,5043632.0,120.1,via Canzio I,,,,
0150770006,CINISELLO BALSAMO,1518408.0,5044351.0,150.04,v.Matteotti,,,,
0150770018,CINISELLO BALSAMO,1517120.0,5045500.0,125.75,via Paisiello,,,,
0150770023,CINISELLO BALSAMO,1519400.0,5044677.0,150.0,Galilei,MI - MONZA,X,3,13.0
0150770073,CINISELLO BALSAMO,1517875.0,5045125.0,128.85,via Petrella,MI - MONZA,,,13.0
0150780002,CISLIANO,1499356.0,5032255.0,124.78,v.Vitt.Veneto-serb.,,,,
0150810004,COLOGNO MONZESE,1521480.0,5042960.0,119.53,v.Levi-Lombardia,,,,
0150810069,COLOGNO MONZESE,1522264.0,5042813.0,138.53,v.Paganini,,,,
0150840002,CONCOREZZO,1525400.0,5046340.0,137.97,S.P.13 Malcantone,MI,,,9.0
0150840024,CONCOREZZO,1526728.0,5049528.0,,v.Pascoli,,,,
0150850002,CORBETTA,1493533.0,5035152.0,139.86,v.Oberdan,,,,
0150850004,CORBETTA,1494180.0,5034180.0,132.09,v.Veneto x Batuello,MI - Par.,X,1,15.0
0150860002,CORMANO,1512580.0,5043085.0,121.54,via Somalia,,,,
0150870001,CORNAREDO,1501530.0,5037775.0,136.84,Campo Sportivo I,MI - Par.,,1,16.0
0150870003,CORNAREDO,1501081.0,5036901.0,134.57,v.Marconi,,,,
0150920001,CORREZZANA,1523496.0,5056835.0,214.84,via S.Francesco,,,,
0150920003,CORREZZANA,1523723.0,5056321.0,247.15,v.Fermi,MI - MONZA,X,3,4.0
0150960014,CUGGIONO,1485070.0,5040190.0,147.96,via Somma-Zucchi,,,,
0150970003,CUSAGO,1502660.0,5033450.0,127.1,v.Cervi fino a 5/99 p.1,MI - Par.,X,3,16.0
0150980004,CUSANO MILANINO,1513764.0,5043930.0,159.29,p.Italia,,,,
0150980028,CUSANO MILANINO,1514126.0,5044416.0,152.11,v.Pedretti,,,,
0151000003,DESIO,1516295.0,5051936.0,146.19,via Torricelli,MI - MONZA,X,1,8.0
0151050002,GARBAGNATE,1505950.0,5046890.0,153.19,v.Varese I-scuole,,,,
0151060008,GESSATE,1534449.0,5044895.0,128.3,p.za Aturia,MI-Città,,1,14.0
0151080002,GORGONZOLA,1532076.0,5042266.0,121.42,v. Manzoni,,,,
0151100001,GREZZAGO,1538450.0,5048995.0,138.31,via Roma-serb.,,,,
0151120002,GUDO VISCONTI,1499888.0,5024427.0,110.35,v.Montegrappa,,,,
0151140006,INZAGO,1536840.0,5041965.0,129.0,vill.Residenziale ,MI,,,14.0
0151150001,LACCHIARELLA,1510746.0,5019039.0,92.74,v.Trento,,,,
0151160008,LAINATE,1502330.0,5047200.0,180.0,Caronasca,MI - Par.,X,2,11.0
0151160009,LAINATE,1502320.0,5047210.0,180.0,Caronasca,,,,
0151170001,LAZZATE,1506710.0,5057630.0,185.21,Chiesa,,,,
0151170003,LAZZATE,1506590.0,5058730.0,188.9,v.S.Lorenzo-serb.,,,,
0151190001,LENTATE,1509520.0,5058340.0,192.31,via S.Vito-Chiesa,,,,
0151250001,LOCATE TRIULZI,1517340.0,5022650.0,89.62,p.Gramsci,MI - Città,X,2,20.0
0151250004,LOCATE TRIULZI,1517730.0,5022245.0,94.7,v.Nenni,,,,
0151300021,MAGENTA,1489910.0,5035170.0,134.21,via Piemonte-Nova C.,,,,
0151340001,MARCALLO CON CASONE,1490207.0,5037106.0,139.53,via dell'Acquedotto,,,,
0151340046,MARCALLO CON CASONE,1490290.0,5037075.0,138.34,via Clerici 4/5/6,,,3,
0151360003,MEDIGLIA,1526600.0,5028740.0,92.04,v.Stephenson,,,,
0151390001,MEZZAGO,1534749.0,5052944.0,177.99,via Unione,MI - Città,X,2,18.0
