CODICE,x,y,z,COMUNE,INFO,PROVINCIA,SETTORE,STRAT.,FALDA,ORIGINE
0150050010,1495936.0,5028883.0,123.16,ALBAIRATE,C.na Faustina PRIV.,MI - Par.,15.0,,1,PTUA2003
0150070002,1488407.0,5043208.0,153.87,ARCONATE,via Turati,MI,10.0,,,PTUA2003
0150090004,1504650.0,5045148.0,149.23,ARESE,C.na Valera II,,,,,PTUA2003
0150090032,1506861.0,5042594.0,152.19,ARESE,Industrie,,,,,PTUA2003
0150090035,1505759.0,5044226.0,166.0,ARESE,Platani,,,,,PTUA2003
0150110002,1509950.0,5028450.0,103.25,ASSAGO,via Roma II - serb.,,,,,PTUA2003
0150110058,1510350.0,5028205.0,107.8,ASSAGO,Dalla Chiesa,,,,,PTUA2003
0150110059,1510350.0,5028205.0,107.8,ASSAGO,v.Dalla Chiesa piez,,,,,PTUA2003
0150130002,1510160.0,5055880.0,179.91,BARLASSINA,p.za Cavour,,,,,PTUA2003
0150140004,1536076.0,5047733.0,170.91,BASIANO,Serbatoio,,,,,PTUA2003
0150150001,1512870.0,5021820.0,96.7,BASIGLIO,p.za M.Rossi-Chiesa,MI - Città,19.0,X,1,PTUA2003
0150150005,1512090.0,5023725.0,100.0,BASIGLIO,Vivaldi,MI - Città,19.0,X,3,PTUA2003
0150170002,1532607.0,5051591.0,181.17,BELLUSCO,p.za Fumagalli,,,,,PTUA2003
0180140001,1501810.0,5011415.0,94.3,BEREGUARDO,via Negri,,,,,PTUA2003
0150180001,1531802.0,5054950.0,196.68,BERNAREGGIO,p.za Repubblica,,,,,PTUA2003
0150190001,1486570.0,5037860.0,139.53,BERNATE TICINO,v.Pellico-Casate,MI - Par.,15.0,X,1,PTUA2003
0980020002,1552858.0,5009264.0,46.44,BERTONICO,via Garibaldi,LO,24.0,X,2,PTUA2003
0150240004,1507371.0,5020189.0,99.98,BINASCO,Binaschino,,,,,PTUA2003
0150270003,1510995.0,5045425.0,134.04,BOLLATE,C.na Nuova-Caracciolo,,,,,PTUA2003
0150270001,1509260.0,5043610.0,130.18,BOLLATE,via A.da Bollate-serb.,,,,,PTUA2003
0980040007,1539108.0,5004665.0,53.0,BORGHETTO,LODIGIANO Casoni 3,,,,,PTUA2003
0150320001,1515240.0,5041885.0,115.86,BRESSO,via Don Vercesi,,,,,PTUA2003
0150340123,1523293.0,5042878.0,139.0,BRUGHERIO,FEM V. Volano,,,,,PTUA2003
0150340005,1524850.0,5044860.0,128.39,BRUGHERIO,v.S.Francesco,,,,,PTUA2003
0150350003,1501102.0,5019562.0,104.19,BUBBIANO,v. Noè,MI - Par.,19.0,X,3,PTUA2003
0150360006,1507897.0,5028482.0,106.76,BUCCINASCO,Rovido,,,,,PTUA2003
