CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
1 (2),MOZZATE,1495999.0,5058550.0,262.6,via Libertà  Aqua Seprio spa   pozzo 4,CO,X,2,2.0
010 (14),CANTÙ,1509350.0,5065650.0,305.0,Cascna S.Antonino  Canturina Servizi spa   pozzo S. Antonino,CO,X,2,3.0
11(15),BRENNA,1514972.0,5064371.0,342.0,Loc. Pozzolo  Soc. Pragma Spa   pozzo 3,CO,X,2,2.0
12(17),CABIATE,1514195.0,5057470.0,237.0,via Buozzi  S.E.T. srl   pozzo 1,CO,X,2,3.0
13(19),BINAGO,1492848.0,5069930.0,373.0,via delle Acacie  Comune   pozzo Acacie 3,CO,X,2,2.0
14(21),OLTRONA DI SAN MAMETTE,1497860.0,5067095.0,373.0,Margè  Az. Colline Comasche,CO,X,2,2.0
015 (22),CAPIAGO INTIMIANO,1510495.0,5068940.0,420.0,Via Roma Az.Colline Com. pozzo Guastone 1,CO,X,2,3.0
0150150005,BASIGLIO,1512090.0,5023725.0,100.0,Vivaldi,MI - Città,X,3,19.0
0150350003,BUBBIANO,1501102.0,5019562.0,104.19,v. Noè,MI - Par.,X,3,19.0
0150360002,BUCCINASCO,1508477.0,5029887.0,107.39,v. Lario,MI - Par.,X,2,19.0
0150770023,CINISELLO BALSAMO,1519400.0,5044677.0,150.0,Galilei,MI - MONZA,X,3,13.0
0150920003,CORREZZANA,1523723.0,5056321.0,247.15,v.Fermi,MI - MONZA,X,3,4.0
0150970003,CUSAGO,1502660.0,5033450.0,127.1,v.Cervi fino a 5/99 p.1,MI - Par.,X,3,16.0
0151160008,LAINATE,1502330.0,5047200.0,180.0,Caronasca,MI - Par.,X,2,11.0
0151250001,LOCATE TRIULZI,1517340.0,5022650.0,89.62,p.Gramsci,MI - Città,X,2,20.0
0151340004,MARCALLO CON CASONE,1490290.0,5037075.0,137.44,via Clerici 4/5/6,MI - Par.,X,3,10.0
0151390001,MEZZAGO,1534749.0,5052944.0,177.99,via Unione,MI - Città,X,2,18.0
0151460036,MILANO,1516872.0,5033973.0,115.0,nan  Acqued. Anfossi 16,MI - Città,,3,17.0
0151460040,MILANO,1512512.0,5035801.0,123.7,nan  Acqued. C. Armi 4,MI - Città,,2,17.0
0151460290,MILANO,1518933.0,5037571.0,121.5,nan  Acqued. C. Feltre 17,MI - Città,,2,17.0
0151460413,MILANO,1519041.0,5033694.0,109.8,nan  Acqued. C. Ovidio 10,MI - Città,,2,17.0
0151460477,MILANO,1512360.0,5041410.0,141.5,nan  Acqued. C. Salemi 8,MI - Città,,3,17.0
0151490084,MONZA,1521014.0,5048849.0,174.0,pozzo Battisti 2  AGAM,MI - MONZA,,2,9.0
0151500013,MORIMONDO,1497395.0,5018890.0,106.5,C.na Fallavecchia,MI - Par.,,2,19.0
0151540065,NERVIANO,1498320.0,5043055.0,166.0,Cantone 65,MI - Par.,X,3,11.0
0151670001,PANTIGLIATE,1527170.0,5032050.0,97.39,v.D'Annunzio,MI - Città,,2,18.0
0151850004,RODANO,1528135.0,5035520.0,110.5,via S.Pellico,MI - Città,X,3,17.0
0151860001,RONCELLO,1535790.0,5049790.0,158.39,S.Ambrogio-serb.,MI - MONZA,X,2,9.0
0152050140,SEGRATE,1523055.0,5035090.0,111.0,Idroscalo,MI - Città,X,2,17.0
0152060004,SENAGO,1510324.0,5047248.0,169.78,v. Adda,MI - Par.,X,2,12.0
0152110005,SETTIMO MILANESE,1505114.0,5036454.0,132.82,v.Fermi,MI - Par.,,2,16.0
0152130021,SOLARO,1506695.0,5051430.0,208.0,v. S.Paolo,MI - Par.,X,3,7.0
0152350001,VERMEZZO,1498622.0,5026499.0,113.52,via Dante,MI - Par.,X,2,19.0
0152360003,VERNATE,1506074.0,5019418.0,100.79,Pasturago,MI - Città,X,2,17.0
0154900019,CARNATE,1529290.0,5054175.0,215.226,Grandi x Usmate  CAP,MI - MONZA,X,3,4.0
0154900021,CARNATE,1529290.0,5054175.0,215.226,Grandi nuovo  CAP,MI - MONZA,X,2,4.0
16(23),LURAGO D'ERBA,1518210.0,5067545.0,320.0,Pioppete  Soc. Pragma Spa,CO,X,2,3.0
017(1bis),ROVELLO PORRO,1503100.0,5055090.0,235.0,via General Porro  Cons. Lura Ambiente   pozzo 3,CO,X,3,7.0
018(2bis),CERMENATE,1506475.0,5061530.0,305.0,via Petrarca  Cons. Lura ambiente   pozzo 2,CO,X,2,2.0
019(3bis),NOVEDRATE,1511046.0,5060448.0,282.0,Villaggio Veneto - 1  Comune   pozzo 3,CO,X,3,3.0
2(3),TURATE,1501039.0,5054988.0,240.0,C.I.E. n.2  Comune   pozzo 6,CO,X,2,6.0
20-S3,MARIANO COMENSE,1514310.0,5060568.0,255.0,Via S. d'Acquisto Soc. Pragma S.P.A   Trotti Grande,CO,X,3,3.0
3(5),ROVELLASCA,1504185.0,5057342.0,247.0,via Dante  Cons. Lura Ambiente   pozzo 2,CO,X,MISTA,2.0
4(6),FENEGRÒ,1500090.0,5061970.0,305.0,Via Trento  Antiga Spa   pozzo 2,CO,X,2,2.0
5,LIMIDO COMASCO,1498324.0,5059851.0,280.0,via Vicolo Scalini  Antiga Spa   pozzo 2,CO,X,2,2.0
6,CURA,1520475.0,5007050.0,71.4,Borghetto  1,PV,X,2,22.0
6(8),BULGAROGRASSO,1500420.0,5065600.0,327.0,via Montichiari  Az. Colline Comasche pozzo 1,CO,X,2,2.0
62,SIZIANO,1515665.0,5017899.0,89.9,via I Maggio  2,PV,X,2,20.0
7(9),BREGNANO,1503775.0,5061925.0,285.0,loc. Puginate  Cons. Lura Ambiente   pozzo 6,CO,X,2,2.0
7-S2,APPIANO GENTILE,1498475.0,5064290.0,352.0,Via Mazzini  Comune,CO,,2,2.0
8,GIUSSAGO,1511200.0,5014400.0,92.0,via Papa Giov. XXIII   2,PV,X,2,19.0
8(10),FINO MORNASCO,1504625.0,5065990.0,299.0,Cascina Pazzea  Az.Colline Comasche   pozzo 2,CO,X,2,2.0
9,TORRE D'ARESE,1525160.0,5009820.0,77.4,via Morivione  1,PV,X,3,20.0
9(12),CARIMATE,1508600.0,5060822.0,244.0,Valle Serenza  Canturina Servizi spa   pozzo 2,CO,x,2,3.0
0980020002,BERTONICO,1552858.0,5009264.0,46.44,via Garibaldi,LO,X,2,24.0
0980200001,COMAZZO,1536534.0,5032132.0,93.02,p.za Caduti,LO,X,2,21.0
0980260002,FOMBIO,1554292.0,4998880.0,42.26,via Giovanni XXIII,LO,X,2,24.0
0980280001,GRAFFIGNANA,1535471.0,5006700.0,64.27,via Milano - serb.,LO,X,2,23.0
0980320002,LODIVECCHIO,1532570.0,5016525.0,74.23,via Cabrini-serb.,LO,X,2,21.0
0980330001,MACCASTORNA,1567299.0,4999597.0,38.85,via Roma,LO,X,2,24.0
PC097020003,CERNUSCO LOMBARDONE,1530522.0,5059523.0,248.0,VILLA ,LC,X,2,4.0
PC097039001,IMBERSAGO,1535411.0,5060791.0,198.0,ROBBIATE1- via dei Mulini ,LC,X,2,4.0
PC097039003,IMBERSAGO,1534898.0,5062596.0,196.0,PONTICELLO- Strada Alzaia ,LC,X,2,4.0
PC097048001,MERATE,1531012.0,5061302.0,266.0,REGONDINO ,LC,X,2,4.0
PC097061011,OSNAGO,1530797.0,5057843.0,246.0,STATALE -via Statale ,LC,X,2,4.0
PC09788001,VERDERIO SUPERIORE,1533927.0,5057534.0,248.0,SAN CARLO - via San Carlo ,LC,X,2,4.0
PC15227001,USMATE VELATE,1527651.0,5056898.0,239.5,VALAPERTA1 ,LC,X,2,4.0
PI097016101,CASATENOVO,1524964.0,5058591.0,294.1,MAGGIONI (EX PIRROTTA) ,LC,X,2,4.0
PI097049101,MISSAGLIA,1528143.0,5059731.0,274.5,BRIVIO ,LC,X,2,4.0
PO1207002201T0,GALLARATE,1482360.0,5058150.0,271.0,via Monte S. Martino ,VA,X,MISTA,5.0
PO1209000903T0,LONATE POZZOLO,1477670.0,5050230.0,207.45,via Molinelli - Bellaria ,VA,X,PROFONDA,5.0
