PROVINCIA,COMUNE,CODICE,SETTORE,INFO,X_GAUSS-BOAGA,Y_GAUSS-BOAGA,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,ALBAIRATE,150050010,15,c.na Faustina PRIV.,1495936,5028883,123.16,,,1,,,,,,,,,,,,,,120.36,121.06,120.46,120.46,121.36,121.36,,122.16,121.46,,,,120.76,120.86,120.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,ALBIZZATE,PO1200200800T0,1,via G. Rossa 8,1485030,5065340,317.9,,X,SUPERF.,,,,,,307.9,305.9,302.9,302.4,302.75,302.56,302.15,301.44,298.98,297.94,298.42,295.02,301.07,302.55,302.23,303.06,302.48,,,,307.12,305.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,APPIANO GENTILE - Comune,7,2,Via Mazzini,1498475,5064290,352,,,2,,,,,,,,,,,,262.7,263.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,ARCONATE                                      ,150070002,10, via Turati,1488408,5043208,179.17,,,,,,,,,154.77,,156.17,,158.67,157.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,BASIGLIO,150150001,19,p.zza M. Rossi-Chiesa,1512870,5021817,96.68,,X,1,,,,,,93.34,93.64,93.74,93.74,93.34,93.14,,,92.9,93.2,93.3,93.4,92.9,93.2,,93.68,93.68,,,,95.3,95.1,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,BASIGLIO,150150005,19,Vivaldi,1512099,5023725,100.53,,X,3,,,,,,94.73,94.83,95.13,95.43,94.83,94.53,,,94.03,94.33,94.23,94.43,94.53,94.63,,95.03,95.13,,,,94.6,94.5,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,BELGIOIOSO - 5,12,22,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,65.56,65.43,65.13,64.73,64.6,64.35,64.39,64.09,63.95,64.64,64.62,64.9,65.5,65.45,,,,64.6,64.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,BEREGUARDO  - 2,28,22,via S. Antonino,1502480,5011810,95,,X,2,,,,,,,,,81.19,79.75,79.65,78.69,78.15,79.97,80.04,79.6,,80.5,79.45,80.79,80.99,80.96,,,,80.38,80.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,BEREGUARDO - 4,28,22,Via S. Antonino,1502530,5011330,98,,,,,,,,,,,,90.59,90.7,90.8,90.8,89.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,BERNATE TICINO,150190001,15,via Pellico-Casate,1486563,5037866,139.53,,X,1,,,,,,139.03,139.43,140.63,141.93,142.63,,141.63,,127.43,126.93,126.83,126.83,127.23,128.53,,130.93,131.53,,,,128.13,127.93,127.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
