DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013029NU0003,PO0130460U0001,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO013138NU0001,PO013143NUP001,PO0131590U0001,PO015019NR0001,PO015041NR0075,PO015051NR0012,PO015060NU0070,PO015062NR0071,PO0151080U0002,PO015113NUP001,PO015146NU1120,PO015146NU1313,PO015146NU1353,PO015146NU1534,PO015146NU1536,PO015146NU1557,PO0151810U0001,PO015194NU0017,PO0152060U0004,PO015219NU0009,PO0152210U0001,PO015243NUP001,PO0152490U0002,PO0970200U0002,PO0970200U0003,PO0970440U0002,PO0970480U0001,PO0970610U0015,PO1080210U0002,PO108023NU0003,PO1080310U0001,PO108033NR0142,PO108033NU0243,PO1080350U0024,PO1080390U0026,PO1080520U0016
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,43.7,,,39.9,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,43.5,,,40.1,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,42.6,,,40.3,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,43.0,,,40.4,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,42.8,,,39.9,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,42.6,,,39.4,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,42.3,,,39.0,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,43.0,,,39.0,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,44.3,,,39.4,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,44.2,,,39.7,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,41.8,,,38.6,,
2001-01-01,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,41.0,,,38.3,,
2001-02-01,,,,,34.71,,48.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,39.3,,,38.0,,
2001-03-01,,,,,34.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,38.0,,,37.6,,
2001-04-01,,,,,33.9,,48.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,37.0,,,37.4,,
2001-05-01,,,,,33.4,,48.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,38.0,,,36.4,,
2001-06-01,,,,,,,48.86,,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,37.0,,,36.8,,
2001-07-01,,,,,33.2,,49.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,38.7,,,37.15,,
2001-08-01,,,,,33.02,,49.3,43.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,19.21,,30.73,,,,38.0,,,37.0,,
2001-09-01,,,,,32.98,,49.36,43.55,,,,,11.8,55.8,31.0,,88.2,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,20.02,,28.24,,,,38.3,,,37.5,,
2001-10-01,,,,,33.0,,49.41,43.33,,,,,,,31.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,20.88,,28.34,,,,38.7,,,,,
2001-11-01,,,,,33.06,,49.56,43.47,,,,,12.0,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.51,,28.0,,,,,,,38.1,,
2001-12-01,,,,,33.12,,49.61,43.58,,,,,12.0,,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.33,,28.99,,,,,,,,,
2002-01-01,,33.47,,,33.85,,49.75,43.89,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,,,,,7.0,,,,23.65,,29.71,,,,39.4,,,36.4,,
2002-02-01,,33.67,,,33.4,,49.97,44.12,,,,,11.18,56.5,,,88.4,,,,,,,,,,,,,,,,18.4,,,,,,,7.3,,,,21.63,,25.74,,,,39.7,,,36.7,,
2002-03-01,,33.82,,,33.44,,50.08,44.36,,,,,10.56,56.4,,,,,,,,,,,,,,,,,,,18.2,,,,,,,8.3,,,,17.9,,,,,,43.0,,,37.0,,
2002-04-01,,33.85,,,33.49,,50.1,44.5,,,,,9.019,56.6,,,88.4,,,,,,,,,,,,,,,,18.3,,,,,,,,,,,18.95,,27.94,,,,,,,37.4,,
2002-05-01,,33.67,,,33.31,,49.67,44.79,,,,,9.14,56.6,,,88.2,,,,,,,,,,,,,,,,18.3,,,,,,,,,,,16.71,,24.81,,,,,,,37.1,,
2002-06-01,,33.44,,,33.15,,49.4,44.7,,,,,9.96,,32.25,,88.3,,,,,,,,,,,,,,,,17.6,,,,,,,,,,,16.99,,26.76,,,,,,,36.5,,
2002-07-01,,33.57,,,33.06,,49.38,44.54,,,,,10.16,,,,,,,,,,,,,,,,,,,,17.65,,,,,,,,,,,16.35,,26.32,,,,,,,,,
2002-08-01,,33.37,,,32.95,,49.37,44.14,,,,,10.56,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,16.02,,26.36,,,,,,,35.5,,
2002-09-01,,33.18,,,32.86,,49.45,44.02,,,,,9.81,,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,14.32,,24.84,,,,,,,35.0,,
2002-10-01,,33.37,,,32.9,,49.6,44.27,,,,,10.41,54.7,32.0,,87.4,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,23.36,,,,,,,35.4,,
2002-11-01,,33.07,,,32.5,,49.6,44.15,,,,,,56.7,30.7,,84.7,,,,,,,,,,,,,,,,17.15,,,,,,,,,,,14.84,,,,,,,,,,,
2002-12-01,,31.77,,,32.08,,48.79,43.45,,,,,8.99,56.8,,,84.7,,,,,,,,,,,,,,,,16.1,,,,,,,6.6,,,,8.75,,3.79,,,,40.0,,,35.7,,
2003-01-01,,30.47,,,31.48,,48.74,42.13,,,,,9.78,56.9,30.0,,84.5,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,5.9,,19.105,,,,,,,,,
2003-02-01,,33.4,,,32.27,,48.2,41.97,,,,,10.13,56.9,30.3,,84.5,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,8.765,,22.75,,,,,,,,,
2003-03-01,,33.1,,,31.13,,48.08,42.52,,,,,10.46,56.6,30.7,,84.6,,,,,,,,,,,,,,,,15.1,,,,,,,7.4,,,,13.56,,,,,,37.0,,,36.1,,
2003-04-01,,33.15,,,31.11,,48.3,42.76,,,,,10.64,56.4,31.0,,84.5,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,17.15,,,,,,,,,,,
2003-05-01,,33.4,,,31.17,,49.49,43.0,,,,,10.87,56.4,,,84.6,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,19.5,,,,,,,,,,,
2003-06-01,,33.67,,,31.26,,49.41,43.26,,,,,11.12,58.1,,,86.1,,,,,,,,,,,,,,,,6.8,,,,,,,6.9,,,,22.21,,,,,,38.0,,,36.6,,
2003-07-01,,34.0,,,31.45,,49.19,43.6,,,,,11.31,58.0,32.73,,86.5,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,24.1,,,,,,,,,,,
2003-08-01,,35.6,,,31.67,,49.58,43.89,,,,,11.25,58.2,32.3,,86.25,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,27.23,,,,,,,,,,,
2003-09-01,,33.03,,,31.9,,49.64,44.17,,,,,11.26,,32.25,,,,,,,,,,,,,,,,,,9.7,,,,,,,7.2,,,,26.48,,,,,,42.4,,,36.0,,
2003-10-01,,33.9,,,32.13,,50.3,44.48,,,,,11.41,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,27.31,,,,,,,,,,,
2003-11-01,,33.7,,,32.24,,50.23,44.69,,,,,11.67,56.3,,,84.45,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,27.29,,,,,,,,,,,
2003-12-01,,33.5,,,32.31,,50.2,44.72,,,,,10.71,56.9,32.65,,88.8,,,,,,,,,,,,,,,,17.2,,,,,,,7.0,,,,25.92,,,,,,44.0,,,36.4,,
2004-01-01,,33.6,,23.25,32.48,,49.76,44.85,,,,,,57.8,,,86.0,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,
2004-02-01,,33.5,,23.26,32.62,,49.78,44.94,,,,,10.36,58.0,32.9,,85.8,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,23.01,,,,,,,,,,,
2004-03-01,,33.6,,23.47,32.79,,49.72,45.05,,,,,9.91,57.9,32.68,,86.1,,,,,,,,,,,,,,,,13.5,,,,,,,7.3,,,,24.17,,27.07,,,,44.6,,,36.5,,
2004-04-01,,33.45,,23.98,32.91,,49.7,45.13,,,,,8.56,57.6,32.3,,89.1,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,25.54,,,,,,,,,
2004-05-01,,33.24,,23.79,32.68,,49.92,45.05,,,,,8.93,57.9,30.9,,89.8,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,19.17,,25.67,,,,,,,,,
2004-06-01,,33.45,,24.21,32.44,,49.96,44.74,,,,,9.99,58.2,,,88.3,,,,,,,,,,,,,,,,6.6,,,,,,,7.1,,,,17.14,,24.43,,,,43.7,,,36.0,,
2004-07-01,,33.45,,24.74,32.39,,49.46,43.56,,,,,10.58,58.0,31.8,,89.9,,,,,,,,,,,,,,,,17.15,,,,,,,,,,,19.8,,26.8,,,,,,,,,
2004-08-01,,33.5,,24.04,32.49,,49.45,44.46,,,,,10.68,58.05,32.0,,89.85,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,22.05,,29.26,,,,,,,,,
