CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0151462437,S1a,PIE,SUP,MARCEGAGLIA,Milano,1516906.49,5041368.41,137.07,30,0,0
0151462438,S1b,PIE,PROF,MARCEGAGLIA,Milano,1516908.04,5041366.06,137.08,50,0,0
0151462439,S13,PIE,SUP,MARCEGAGLIA,Milano,1516830.62,5041487.48,136.95,30,0,0
0151462440,S21,PIE,SUP,MARCEGAGLIA,Milano,1517153.04,5041397.61,137.29,30,0,0
0151462441,S25,PIE,SUP,MARCEGAGLIA,Milano,1517075.7,5041452.39,137.33,30,0,0
0151462575,PP4,PIE,PROF,BREDA,Milano,1517350.14,5041102.35,134.449,60,0,0
0151462576,PS4,PIE,SUP,BREDA,Milano,1517352.32,5041106.17,136.433,30,0,0
0151462579,PP6,PIE,SUP,BREDA,Milano,1517220.22,5041228.1,136.915,30,0,0
0151462580,PS6,PIE,SUP,BREDA,Milano,1517222.92,5041227.33,136.943,30,0,0
0151462581,PP7,PIE,PROF,BREDA,Milano,1517227.85,5041165.14,137.007,60,0,0
0151462582,PS7,PIE,SUP,BREDA,Milano,1517224.39,5041166.58,136.976,30,0,0
0151462754,PzA,PIE,SUP,MARCEGAGLIA,Milano,1517106,5041339,-999,30,-999,-999
0152090182,TS.PS.003,PIE,SUP,TRANSIDER,Sesto San Giovanni,1519184.98,5041701.5,137.31,30,18,30
0152090216,Pz IP ,PIE,PROF,TANGENZIALE,Sesto San Giovanni,1520395.355,5043879.145,144.34,61,-999,-999
0152090217,PZ 2P,PIE,PROF,TANGENZIALE,Sesto San Giovanni,1520336.317,5043730.814,144.62,60,-999,-999
0152090218,Pz 01,PIE,PROF,VULCANO,Sesto San Giovanni,1519464.14,5043736.52,144.77,50,-999,-999
0152090219,Pz 02,PIE,PROF,VULCANO,Sesto San Giovanni,1519453.89,5043872.87,146.25,50,-999,-999
0152090220,Pz 03,PIE,PROF,VULCANO,Sesto San Giovanni,1519641.39,5043913.49,145.5,50,-999,-999
0152090221,PZ 5,PIE,PROF,EDISON,Sesto San Giovanni,1519627.158,5043199.855,142.823,53,-999,-999
0152090222,PZ 4,PIE,PROF,EDISON,Sesto San Giovanni,1519784.463,5043366.499,142.998,53,-999,-999
0152090223,PZ S4,PIE,SUP,EDISON,Sesto San Giovanni,1519789.454,5043362.738,143.073,30,-999,-999
0152090224,PZ S1,PIE,SUP,EDISON,Sesto San Giovanni,1519965.489,5043184.698,142.974,30,-999,-999
0152090225,PZ 1,PIE,PROF,EDISON,Sesto San Giovanni,1519964.802,5043181.327,142.901,53,-999,-999
