SIF,COD_LOC,DATA,Livello piezometrico (m slm)
0152090264,VAPS002,01/08/2018,122.33
0152090264,VA.PS.002,17/09/2009,118.47
0152090264,VA.PS.002,09/03/2010,118.59
0152090264,VA.PS.002,05/10/2010,119.66
0152090264,VA.PS.002,07/04/2011,122.12
0152090264,VA.PS.002,10/10/2011,122.12
0152090264,VA.PS.002,01/03/2012,121.44
0152090264,VA.PS.002,01/09/2012,121.17
0152090264,VA.PS.002,01/03/2013,121.13
0152090264,VA.PS.002,01/09/2013,122.01
0152090264,VA.PS.002,01/03/2014,123.41
0152090264,VA.PS.002,01/09/2014,124.18
0152090264,VA.PS.002,01/03/2015,124.69
0152090264,VA.PS.002,01/09/2015,125.05
0152090264,VA.PS.002,01/03/2016,124.15
0152090264,VA.PS.002,28/03/2017,123.49
0152090264,VA.PS.002,19/09/2017,122.83
0152090264,VA.PS.002,19/03/2018,122.45
0152090264,VA.PS.002,17/09/2018,122.41
0152090264,VA.PS.002,18/03/2019,122.03
0152090264,VA.PS.002,17/09/2019,121.63
0152090264,VA.PS.002,19/05/2020,121.89
0152090264,VA.PS.002,17/09/2020,122.41
0152090264,VA.PS.002,18/03/2021,122.61
0152090264,VA.PS.002,18/03/2021,122.61
0152090264,VA.PS.002,17/03/2022,121.71
0152090265,VA.PP.002,17/09/2009,118.41
0152090265,VA.PP.002,09/03/2010,118.44
0152090265,VA.PP.002,05/10/2010,119.62
0152090265,VA.PP.002,07/04/2011,122.07
0152090265,VA.PP.002,10/10/2011,122.07
0152090265,VA.PP.002,01/03/2012,121.25
0152090265,VA.PP.002,01/09/2012,120.99
0152090265,VA.PP.002,01/03/2013,120.65
0152090265,VA.PP.002,01/09/2013,121.75
0152090265,VA.PP.002,01/03/2014,123.24
0152090265,VA.PP.002,01/09/2014,123.98
0152090265,VA.PP.002,01/03/2015,125.00
0152090265,VA.PP.002,01/09/2015,124.83
0152090265,VA.PP.002,01/03/2016,122.39
0152090265,VA.PP.002,28/03/2017,122.93
0152090265,VA.PP.002,19/09/2017,122.64
0152090265,VA.PP.002,19/03/2018,122.28
0152090265,VA.PP.002,17/09/2018,122.23
0152090265,VA.PP.002,18/03/2019,121.84
0152090265,VA.PP.002,17/09/2019,121.45
0152090265,VA.PP.002,19/05/2020,121.60
0152090265,VA.PP.002,17/09/2020,122.24
0152090265,VA.PP.002,18/03/2021,122.43
0152090265,VA.PP.002,17/03/2022,121.53
0152090283,CM.PP.002,23/09/2009,123.48
0152090283,CM.PP.002,09/03/2010,124.45
0152090283,CM.PP.002,07/10/2010,124.88
0152090283,CM.PP.002,04/04/2011,127.02
0152090283,CM.PP.002,12/10/2011,127.02
0152090283,CM.PP.002,01/03/2012,125.67
0152090283,CM.PP.002,01/09/2012,125.97
0152090283,CM.PP.002,01/03/2013,125.62
0152090283,CM.PP.002,01/09/2013,127.04
0152090283,CM.PP.002,01/03/2014,128.53
0152090283,CM.PP.002,01/09/2014,129.60
0152090283,CM.PP.002,01/03/2015,130.04
0152090283,CM.PP.002,01/09/2015,130.02
0152090283,CM.PP.002,01/03/2016,128.64
0152090283,CM.PP.002,30/03/2017,127.58
0152090283,CM.PP.002,27/09/2017,127.69
0152090283,CM.PP.002,05/04/2018,126.86
0152090283,CM.PP.002,24/09/2018,127.25
0152090283,CM.PP.002,26/03/2019,126.31
0152090283,CM.PP.002,22/05/2020,126.64
0152090283,CM.PP.002,15/09/2020,127.59
0152090283,CM.PP.002,24/03/2021,127.27
0152090283,CM.PP.002,15/03/2022,126.18
0152090284,CM.PS.002,23/09/2009,124.38
0152090284,CM.PS.002,09/03/2010,123.38
0152090284,CM.PS.002,07/10/2010,125.66
0152090284,CM.PS.002,04/04/2011,127.70
0152090284,CM.PS.002,12/10/2011,127.70
0152090284,CM.PS.002,01/03/2012,126.29
0152090284,CM.PS.002,01/09/2012,126.52
0152090284,CM.PS.002,01/03/2013,126.37
0152090284,CM.PS.002,01/09/2013,127.75
0152090284,CM.PS.002,01/03/2014,129.37
0152090284,CM.PS.002,01/09/2014,130.29
0152090284,CM.PS.002,01/03/2015,130.81
0152090284,CM.PS.002,01/09/2015,130.75
0152090284,CM.PS.002,01/03/2016,129.38
0152090284,CM.PS.002,30/03/2017,128.25
0152090284,CM.PS.002,27/09/2017,128.53
0152090284,CM.PS.002,05/04/2018,126.66
0152090284,CM.PS.002,01/08/2018,127.83
0152090284,CM.PS.002,24/09/2018,128.15
0152090284,CM.PS.002,26/03/2019,127.81
0152090284,CM.PS.002,18/06/2019,127.01
0152090284,CM.PS.002,18/07/2019,127.50
0152090284,CM.PS.002,07/08/2019,127.14
0152090284,CM.PS.002,19/09/2019,127.09
0152090284,CM.PS.002,18/10/2019,127.81
0152090284,CM.PS.002,20/11/2019,128.99
0152090284,CM.PS.002,23/12/2019,129.52
0152090284,CM.PS.002,22/01/2020,128.63
0152090284,CM.PS.002,20/02/2020,128.00
0152090284,CM.PS.002,25/03/2020,127.67
0152090284,CM.PS.002,23/04/2020,127.29
0152090284,CM.PS.002,22/05/2020,127.61
0152090284,CM.PS.002,22/06/2020,128.41
0152090284,CM.PS.002,13/07/2020,128.48
0152090284,CM.PS.002,25/08/2020,128.34
0152090284,CM.PS.002,15/09/2020,128.70
0152090284,CM.PS.002,22/10/2020,128.74
0152090284,CM.PS.002,19/11/2020,128.60
0152090284,CM.PS.002,21/12/2020,128.44
0152090284,CM.PS.002,21/01/2021,128.29
