CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
12034005,PO0120340UA005,VA,CARONNO PERTUSELLA,VIA BERGAMO - POZZO APPROFONDITO,POZZO N 5 ,POZZO,1503032.14,5049030.84,,,DA PRATICA,168.00,115.00,156.00,,MULTIPLO,190.80,158.00,129.00,127.61,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034005.pdf,ASSENTE,,MIND
12034006,PO012034NU0006,VA,CARONNO PERTUSELLA, VIA DELLA VITTORIA,POZZO N 6,POZZO,1503396.42,5049750.42,,,DA PRATICA,155.00,121.50,146.50,,SINGOLO,194.78,155.00,137.00,128.02,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034006.pdf,ASSENTE,,MIND
12034007,PO012034NU0007,VA,CARONNO PERTUSELLA,VIA XXV APRILE,POZZO N 7,POZZO,1503934.05,5050219.33,,,DA PRATICA,188.00,127.00,179.00,,MULTIPLO,198.83,158.00,143.00,127.56,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034007.pdf,ASSENTE,,MIND
12034008,PO012034NU0008,VA,CARONNO PERTUSELLA, VIA ENRICO FERMI,POZZO N 8,POZZO,1503792.82,5050528.75,,,DA PRATICA,184.75,124.00,174.75,,MULTIPLO,199.92,158.00,143.00,128.24,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034008.pdf,ASSENTE,,MIND
12034021.03,PO012034NR3021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/3,POZZO,1502788.02,5049275.80,,,DA PRATICA,94.40,53.50,93.00,,MULTIPLO,192.56,160.00,125.00,128.69,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034021,03.pdf",ASSENTE,,MIND
12034021.04,PO012034NR4021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/4,POZZO,1502523.74,5049459.70,,,DA PRATICA,98.40,53.00,91.80,,MULTIPLO,192.76,163.00,128.00,129.37,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034021,04.pdf",ASSENTE,,MIND
12034021.05,PO012034NR5021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/5,POZZO,1502877.49,5049413.16,,,DA PRATICA,100.00,65.00,91.97,,SI,192.42,157.00,134.00,128.61,,TRANSIZIONE,C,ISP,"Log Stratigrafici\012034021,05.pdf",ASSENTE,,MIND
12034032.02,PO012034NR0032,VA,CARONNO PERTUSELLA,FERRIERA ALTO MILANESE - VIA ASIAGO 187 ,POZZO N 32/2,POZZO,1502942.82,5049332.53,,,DA PRATICA,47.50,42.00,46.60,,SI,192.62,158.00,129.00,128.33,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034032,02.pdf",ASSENTE,,MIND
12034033.01,PO012034NR1033,VA,CARONNO PERTUSELLA, BENASEDO - VIA ASIAGO PRIVATO               ,POZZO N 33/1,POZZO,1502726.57,5049603.18,,,DA PRATICA,73.00,53.00,63.00,,SINGOLO,194.01,163.00,128.00,129.28,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034033,01.pdf",ASSENTE,,MIND
12034033.02,PO012034NR2033,VA,CARONNO PERTUSELLA, BENASEDO - VIA ASIAGO PRIVATO               ,POZZO N 33/2,POZZO,1502842.11,5049599.05,,,DA PRATICA,42.00,35.00,41.00,,SINGOLO,193.88,163.00,128.00,128.61,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034033,02.pdf",ASSENTE,,MIND
