comune,Codice_catastale,zona_omogenea,id_punto,cod_pozzo,tipo_punto,id_pratica,seq_captazione,uso,istat_comune,foglio,mappale,lng,lat,quota_pc,quota_rif,portata,profondita,tetto_primo_filtro,letto_ultimo_filtro,Location
CANEGRATE,B593,Magentino Abbiatense,14305,150460014,PIE,n/a,,Piezometro,15046,n/d,n/d,1492968,5045607,191,191,0,36,,,POINT (8.90953667 45.563783)
MILANO,F205,Magentino Abbiatense,15047,151461256,PIE,n/a,,Piezometro,15146,n/d,n/d,1512724,5039344,132.5,132.22,0,24,,,POINT (9.1625265 45.507332)
CANEGRATE,B593,Magentino Abbiatense,15582,150460028,PIE,n/a,,Piezometro,15046,n/d,n/d,,,,,0,,,,POINT (0 0)
SETTIMO MILANESE,I700,Magentino Abbiatense,15614,152110073,PIE,n/a,,Piezometro,15211,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,17113,151461842,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,17349,151461977,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MEDIGLIA,F084,Magentino Abbiatense,17411,151390207,PIE,n/a,,Piezometro,15139,n/d,n/d,1527728,5027552,92.36,92.2,0,20,,,POINT (9.35392797 45.400759)
MILANO,F205,Magentino Abbiatense,17454,151461993,PIE,n/a,,Piezometro,15146,n/d,n/d,1514508,5032304,114.5,114.5,0,24,,,POINT (9.18515633 45.44393)
COLOGNO MONZESE,C895,Magentino Abbiatense,18066,150810160,PIE,n/a,,Piezometro,15081,n/d,n/d,1523381,5042649,131,,0,12,,,POINT (9.29910406 45.536804)
MILANO,F205,Magentino Abbiatense,18453,151462247,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,15,,,POINT (0 0)
BUCCINASCO,B240,Magentino Abbiatense,19207,150360176,PIE,n/a,,Piezometro,15036,n/d,n/d,1509568,5029530,,,0,20,,,POINT (9.1219362 45.419046)
LACCHIARELLA,E395,Magentino Abbiatense,19301,151150153,PIE,n/a,,Piezometro,15115,n/d,n/d,1512904,5019716,,,0,8,,,POINT (9.16431849 45.330656)
MILANO,F205,Magentino Abbiatense,19755,151462596,PIE,n/a,,Piezometro,15146,n/d,n/d,1511515,5039542,,,0,35,,,POINT (9.14705462 45.509135)
CUSANO MILANINO,D231,Magentino Abbiatense,20028,150980043,PIE,n/a,,Piezometro,15098,n/d,n/d,1514091,5044521,153.25,153.15,0,36,,,POINT (9.18017399 45.553903)
CORSICO,D045,Magentino Abbiatense,20759,150930146,PIE,n/a,,Piezometro,15093,n/d,n/d,,,,,0,15,,,POINT (0 0)
CORSICO,D045,Magentino Abbiatense,20764,150930147,PIE,n/a,,Piezometro,15093,n/d,n/d,,,,,0,15,,,POINT (0 0)
CORSICO,D045,Magentino Abbiatense,20765,150930148,PIE,n/a,,Piezometro,15093,n/d,n/d,,,,,0,15,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21370,151462889,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,21,,,POINT (0 0)
SENAGO,I602,Magentino Abbiatense,21438,152060038,PIE,n/a,,Piezometro,15206,n/d,n/d,,,,,0,54,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21439,151462903,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,25,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21440,151462904,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,23,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21441,151462905,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,24,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21479,151462906,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21480,151462907,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21481,151462908,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,21482,151462909,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22304,150020473,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22305,150020474,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22306,150020475,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22307,150020476,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22308,150020477,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
ABBIATEGRASSO,A010,Magentino Abbiatense,22309,150020478,PIE,n/a,,Piezometro,15002,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,22517,151463190,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,12,,,POINT (0 0)
MILANO,F205,Milano,25529,151464232,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,25,15,25,POINT (0 0)
