PROVINCIA,COMUNE,CODICE,CODICEWISE,RETE,QUANTI_ESE,STATO,DATA_INIZIO,X_WGS84,Y_WGS84,ORIGINE_CO,QUOTA_MISU,QUOTA_PC_S,H_BP,PROFONDIT,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,GWB_2015,Codice_WIS,Nome_Corpo,Area_GWB,SONDA_AUTO,NOTE,STATISTICA_MK,PVALUE,SENSSLOPE_M_MESE,SENSSLOPE_M_ANNO,SENSSLOPE_CM_ANNO,TREND,PIEZO82,N_DATI,FREQ_MEDIA_MISURE,ANNI CON 12 DATI,ANNI SENZA DATI,CONFIDENZA
BG,GORLE,PO0161150U0002,IT03GWBISSAPAO_PO0161150U0002,1,1,M,01/05/2004,555750,5060383,1,262.955,262.955,0,65,1,41,65,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,0.08461114,0.159491062,0.005,0.06,6,STAZIONARIO,215.701,127,11.54545455,7,0,ALTA
BG,BERGAMO,PO0160240R0296,IT03GWBISSAPAO_PO0160240R0296,1,1,S,01/01/2011,552395,5057957,1,232,232,0,76,2,46,67,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,0.03070646,0.649854302,0.003623188,0.043478256,4.3478256,STAZIONARIO,199.386,102,9.272727273,5,2,ALTA
BG,BRUSAPORTO,PO016042NU0001,IT03GWBISSAPAO_PO016042NU0001,3,1,M,01/03/2012,560015,5057521,1,232,232,0,75,1,39,69,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",SI,,-0.282396287,7.61E-05,-0.02074074,-0.24888888,-24.888888,NEGATIVO,199.594,91,8.272727273,6,3,MEDIA
BG,CURNO,PO0160890R0001,IT03GWBISSAPAO_PO0160890R0001,3,1,M,01/01/2006,546219,5058655,1,201.044,200.294,0.54,40,1,25,35,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.088264711,0.155762061,-0.00483871,-0.05806452,-5.806452,STAZIONARIO,188.243,119,10.81818182,7,0,ALTA
BG,FILAGO,PO0160980R0009,IT03GWBISSAPAO_PO0160980R0009,1,2,S,01/01/2010,541795,5054560,1,202.836,202.836,0,70,1,50,70,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.182605058,0.005419322,-0.0139759,-0.1677108,-16.77108,NEGATIVO,155.685,107,9.727272727,3,1,ALTA
BG,GRASSOBBIO,PO016117NU0001,IT03GWBISSAPAO_PO016117NU0001,1,1,S,01/03/2009,556822,5054066,1,204.898,204.898,0,60,1,21,60,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.299259901,9.41E-07,-0.02634783,-0.31617396,-31.617396,NEGATIVO,177.645,123,11.18181818,6,0,ALTA
BG,LALLIO,PO016123NU0001,IT03GWBISSAPAO_PO016123NU0001,3,1,M,01/03/2012,548636,5057202,1,216.8,216.8,0,60,1,55,60,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.152848557,0.043927379,-0.02008475,-0.241017,-24.1017,NEGATIVO,186.67,81,7.363636364,4,3,MEDIA
BG,TERNO D'ISOLA,PO0162130R0002,IT03GWBISSAPAO_PO0162130R0002,1,1,M,01/08/2004,541508,5059467,1,230.29,230.29,0,58,1,30,52,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,0.096306197,0.119692683,0.006370224,0.076442688,7.6442688,STAZIONARIO,172.448,120,10.90909091,2,0,ALTA
BG,BOLGARE,PO0160280R0003,IT03GWBISSAPAO_PO0160280R0003,1,1,S,01/11/2009,563270,5053189,1,192.624,192.474,0.15,22,1,10,20,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",SI,,-0.264657915,3.04E-05,-0.01416823,-0.17001876,-17.001876,NEGATIVO,169.739,114,10.36363636,7,1,ALTA
BG,CISERANO,PO0160750U0003,IT03GWBISSAPAO_PO0160750U0003,1,2,C,01/12/2011,548086,5048605,1,159.04,159.04,0,20,1,5,20,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.175053477,0.009259761,-0.02227778,-0.26733336,-26.733336,NEGATIVO,147.887,102,9.272727273,6,2,ALTA
