CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE
PO0161150U0002,BG,GORLE,01/05/2004,555750,5060383,262.955,262.955,65,1,41,65,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0160240R0296,BG,BERGAMO,01/01/2011,552395,5057957,232,232,76,2,46,67,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO016042NU0001,BG,BRUSAPORTO,01/03/2012,560015,5057521,232,232,75,1,39,69,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,SI,
PO0160890R0001,BG,CURNO,01/01/2006,546219,5058655,201.044,200.294,40,1,25,35,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0160980R0009,BG,FILAGO,01/01/2010,541795,5054560,202.836,202.836,70,1,50,70,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO016117NU0001,BG,GRASSOBBIO,01/03/2009,556822,5054066,204.898,204.898,60,1,21,60,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO016123NU0001,BG,LALLIO,01/03/2012,548636,5057202,216.8,216.8,60,1,55,60,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0162130R0002,BG,TERNO D'ISOLA,01/08/2004,541508,5059467,230.29,230.29,58,1,30,52,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0160280R0003,BG,BOLGARE,01/11/2009,563270,5053189,192.624,192.474,22,1,10,20,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,SI,
PO0160750U0003,BG,CISERANO,01/12/2011,548086,5048605,159.04,159.04,20,1,5,20,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0161530R0004,BG,OSIO SOTTO,01/01/2010,544462,5052042,182.635,181.915,50,3,24.5,35.2,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,SI,
PO0161570R3380,BG,PALOSCO,01/01/2006,564666,5047586,149.671,149.501,48,1,35,44,DOMESTICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0162120R0001,BG,TELGATE,01/05/2014,567086.73,5052562.733,191,190.5,72,1,48,72,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0160760R1284,BG,CIVIDATE AL PIANO,01/03/2012,565653,5042196,131.5,131.5,18,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0161290R0001,BG,LURANO,01/01/2006,550460,5045643,142.426,142.296,30,1,25,30,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,
PO0161830R0003,BG,ROMANO DI LOMBARDIA,01/02/2006,559060,5041598,124.207,124.207,62,1,55,60,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,SI,
