,z,p,tr
PO012002NU0008,3.6889740952778847,0.0002251601407514284,1.0
PO012026NU3021,8.256223437117294,1.5035404314993136e-16,1.0
PO0120500RZ001,3.624214925980346,0.0002898405112867356,1.0
PO012070NU1007,4.975604185418851,6.504443799412592e-07,1.0
PO0120750R2020,2.199630318822283,0.027833134273649338,1.0
PO0120790RZ001,6.418443266572713,1.376748951765752e-10,1.0
PO012090NU2009,-3.50912112408424,0.0004495901063158635,-1.0
PO0121180U0005,-1.9959226482258754,0.045942343062593614,-1.0
PO012119NUP001,-10.141647449955359,3.60960022059972e-24,-1.0
PO012123NUP001,-8.204956705100575,2.3067399819548865e-16,-1.0
PO0121300RZ001,5.26779971275258,1.3806862606106148e-07,1.0
PO012136NUZ001,1.076575613225749,0.281669903864997,0.0
PO0130230U0003,4.364500475876612,1.2741357223708283e-05,1.0
PO0130280U0009,2.20388690099311,0.027532298993199648,1.0
PO013064NU0002,-1.3728536508819598,0.16979784794082908,0.0
PO0131310U0001,-6.9122534926551715,4.770144543648325e-12,-1.0
PO0131330U0009,-1.335653104683535,0.18166268396729834,0.0
PO0131590U0001,-0.49104658693612463,0.6233934980255706,0.0
PO015041NR0075,-4.508514333185302,6.528315944044069e-06,-1.0
PO015051NR0012,1.316948994907005,0.18785572190859912,0.0
PO015062NR0071,-6.9037833019726955,5.063552315772586e-12,-1.0
PO015113NUP001,-0.43299238934608913,0.6650202988693089,0.0
PO015146NU1534,3.169545425202383,0.0015267759091025387,1.0
PO015194NU0017,-8.10534161126249,5.259752241538364e-16,-1.0
PO0970200U0002,5.885123103548485,3.9775782030082785e-09,1.0
PO0970200U0003,6.624620578033145,3.4814123847984136e-11,1.0
PO0970480U0001,4.7123425728935615,2.4488524967885153e-06,1.0
PO0970610U0015,0.9278108706267162,0.35350568417115424,0.0
PO108033NR0142,4.0870239728019175,4.369419853589767e-05,1.0
PO108033NU0243,-8.807126829007114,1.283943912450462e-18,-1.0
