DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO0131590U0001,PO015041NR0075,PO015051NR0012,PO015062NR0071,PO015113NUP001,PO015146NU1534,PO015194NU0017,PO0970200U0002,PO0970200U0003,PO0970480U0001,PO0970610U0015,PO108033NR0142,PO108033NU0243
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,-0.6374841609623771,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,-0.3661063568005698,,0.967421566101701,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,-0.49720057068155404,,0.967421566101701,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,-0.11964811303984217,,1.4652337926855223,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,,,-0.06270677794321385,,1.959963984540054,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,,,,,-0.18911842627279252,,1.4395314709384557,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,0.18911842627279238,,1.1503493803760079,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,,,,,0.06270677794321357,,1.1503493803760079,0.93458929107348,,,,,,,,,,,,,,,,,,0.18911842627279238,-1.9599639845400545,,,
2001-09-01,,,,,0.06270677794321357,,0.93458929107348,0.5977601260424784,,,,,-0.9345892910734802,0.5977601260424784,0.18911842627279238,,,,,,,,,,,0.06270677794321357,-0.7554150263604693,,,
2001-10-01,,,,,0.18911842627279238,,0.93458929107348,0.93458929107348,,,,,-1.1503493803760079,0.7554150263604691,0.31863936396437514,,,,,,,,,,,-0.06270677794321385,-0.9345892910734802,,,
2001-11-01,,,,,0.18911842627279238,,0.7554150263604691,0.5977601260424784,,,,,-1.1503493803760079,0.93458929107348,0.31863936396437514,,,,,,,,,,,-0.18911842627279252,-0.7554150263604693,,,
2001-12-01,,,,,0.18911842627279238,,0.5977601260424784,0.5977601260424784,,,,,-1.1503493803760079,0.93458929107348,0.4537621901698793,,,,,,,,,,,-0.18911842627279252,-1.1503493803760079,,,
2002-01-01,,-0.18911842627279252,,,0.0,,0.5977601260424784,0.5977601260424784,,,,,-1.1503493803760079,0.7554150263604691,0.06270677794321357,,,,,,,,-0.7554150263604693,,,-0.31863936396437514,-1.9599639845400545,,,
