,slope,intercept
PO012002NU0008,0.01585309973045835,304.14344676549865
PO012026NU3021,0.018947368421052734,166.69357894736842
PO0120500RZ001,0.01758119733146066,200.45452984550562
PO012070NU1007,0.01453536184210525,225.9765900493421
PO0120750R2020,0.00693513513513525,186.68338108108108
PO0120790RZ001,0.03350496688741727,198.38854304635763
PO012090NU2009,-0.0031914893617022485,158.79217021276597
PO0121180U0005,-0.0053297101449275965,179.10590579710146
PO012119NUP001,-0.16244897959183632,187.15571428571428
PO012123NUP001,-0.045714285714285416,177.4052857142857
PO0121300RZ001,0.025961904761904672,168.4985238095238
PO012136NUZ001,0.004132457580733449,278.2505489874111
PO0130230U0003,0.00836845607808337,361.6707064108252
PO0130280U0009,0.003571428571427861,224.22835714285722
PO013064NU0002,-0.003703703703703493,213.46718518518514
PO0131310U0001,-0.044000000000000344,236.34000000000003
PO0131330U0009,-0.011111111111111112,234.5438888888889
PO0131590U0001,-0.0016129032258063599,221.31774193548387
PO015041NR0075,-0.035,156.54749999999999
PO015051NR0012,0.012097918518518495,130.8849645259259
PO015062NR0071,-0.021784330011073945,146.30404969545958
PO015113NUP001,-0.005142857142857338,146.68342857142858
PO015146NU1534,0.012361552175608675,122.61224072371719
PO015194NU0017,-0.051605076521089865,165.52161067562523
PO0970200U0002,0.045462184873949554,226.9539411764706
PO0970200U0003,0.03930394056847558,222.8004683462532
PO0970480U0001,0.013666501731816057,237.28135279564572
PO0970610U0015,0.005805527468823563,223.33379423660264
PO108033NR0142,0.021081081081081112,165.5664864864865
PO108033NU0243,-0.07291304347826054,142.08680434782607
