CODICE,CODICE_SIF,CODICE_PTUA2003,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE,lat,lon,z_PTUA2003,z_CAP,INFO_PTUA2003,FALDA,ORIGINE,INDIRIZZO
PO0161150U0002,,,BG,GORLE,01/05/2004,555750.0,5060383.0,262.955,262.955,65.0,1,41,65,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.69475591340114,9.716056790232225,,,,,,
PO0160240R0296,,,BG,BERGAMO,01/01/2011,552395.0,5057957.0,232.0,232.0,76.0,2,46,67,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.67318331835092,9.672706281527075,,,,,,
PO016042NU0001,,,BG,BRUSAPORTO,01/03/2012,560015.0,5057521.0,232.0,232.0,75.0,1,39,69,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,SI,,45.66864136662524,9.770478256814927,,,,,,
PO0160890R0001,,,BG,CURNO,01/01/2006,546219.0,5058655.0,201.044,200.294,40.0,1,25,35,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,45.67990495348686,9.59348279335441,,,,,,
PO0160980R0009,,,BG,FILAGO,01/01/2010,541795.0,5054560.0,202.836,202.836,70.0,1,50,70,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.6433289386173,9.536326293449562,,,,,,
PO016117NU0001,,,BG,GRASSOBBIO,01/03/2009,556822.0,5054066.0,204.898,204.898,60.0,1,21,60,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.63781489354737,9.72908604296438,,,,,,
PO016123NU0001,,,BG,LALLIO,01/03/2012,548636.0,5057202.0,216.8,216.8,60.0,1,55,60,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,45.66666204588214,9.62437142911532,,,,,,
PO0162130R0002,,,BG,TERNO D'ISOLA,01/08/2004,541508.0,5059467.0,230.29,230.29,58.0,1,30,52,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.68751154351576,9.533062608171427,,,,,,
PO0160280R0003,,,BG,BOLGARE,01/11/2009,563270.0,5053189.0,192.624,192.474,22.0,1,10,20,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,SI,,45.6293639400367,9.811698759741567,,,,,,
PO0160750U0003,,,BG,CISERANO,01/12/2011,548086.0,5048605.0,159.04,159.04,20.0,1,5,20,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,45.58932388504041,9.61646235136126,,,,,,
