CODICE,CODICE_SIF,PROVINCIA,CODICE_FOG,CODICE_SSG,COMUNE,DATA_INIZIO,DATA_FINE,X,Y,lat,lon,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,INFO,ORIGINE,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,FALDA
PO0161150U0002,,BG,,,GORLE,,,555750.0,5060383.0,45.69475591340114,9.716056790232223,262.955,262.955,65.0,1,41,65,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0160240R0296,,BG,,,BERGAMO,,,552395.0,5057957.0,45.67318331835092,9.672706281527077,232.0,232.0,76.0,2,46,67,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO016042NU0001,,BG,,,BRUSAPORTO,,,560015.0,5057521.0,45.66864136662524,9.770478256814929,232.0,232.0,75.0,1,39,69,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,SI,,PTUA2022,,,,,,
PO0160890R0001,,BG,,,CURNO,,,546219.0,5058655.0,45.67990495348686,9.59348279335441,201.044,200.294,40.0,1,25,35,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0160980R0009,,BG,,,FILAGO,,,541795.0,5054560.0,45.6433289386173,9.536326293449562,202.836,202.836,70.0,1,50,70,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO016117NU0001,,BG,,,GRASSOBBIO,,,556822.0,5054066.0,45.63781489354737,9.729086042964381,204.898,204.898,60.0,1,21,60,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO016123NU0001,,BG,,,LALLIO,,,548636.0,5057202.0,45.66666204588214,9.62437142911532,216.8,216.8,60.0,1,55,60,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0162130R0002,,BG,,,TERNO D'ISOLA,,,541508.0,5059467.0,45.68751154351576,9.533062608171429,230.29,230.29,58.0,1,30,52,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0160280R0003,,BG,,,BOLGARE,,,563270.0,5053189.0,45.6293639400367,9.811698759741569,192.624,192.474,22.0,1,10,20,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,SI,,PTUA2022,,,,,,
PO0160750U0003,,BG,,,CISERANO,,,548086.0,5048605.0,45.58932388504041,9.61646235136126,159.04,159.04,20.0,1,5,20,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0161530R0004,,BG,,,OSIO SOTTO,,,544462.0,5052042.0,45.6204999406813,9.570318481987869,182.635,181.915,50.0,3,24.5,35.2,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,SI,,PTUA2022,,,,,,
PO0161570R3380,,BG,,,PALOSCO,,,564666.0,5047586.0,45.578808143100645,9.828863366081787,149.671,149.501,48.0,1,35,44,DOMESTICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0162120R0001,,BG,,,TELGATE,,,567086.73,5052562.733,45.62336920908224,9.860572400569556,191.0,190.5,72.0,1,48,72,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0160760R1284,,BG,,,CIVIDATE AL PIANO,,,565653.0,5042196.0,45.530205235508674,9.84078922517723,131.5,131.5,18.0,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
PO0161290R0001,,BG,,,LURANO,,,550460.0,5045643.0,45.56249629421228,9.646589076661785,142.426,142.296,30.0,1,25,30,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,,,PTUA2022,,,,,,
