gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
1,PO0130230U0003,32,2001-09-01,,no,,,360.284,,372.084,non noto,PTUA2022,
2,PO0130230U0003,32,2001-11-01,,no,,,360.084,,372.084,non noto,PTUA2022,
3,PO0130230U0003,32,2001-12-01,,no,,,360.084,,372.084,non noto,PTUA2022,
4,PO0130230U0003,32,2002-02-01,,no,,,360.904,,372.084,non noto,PTUA2022,
5,PO0130230U0003,32,2002-03-01,,no,,,361.524,,372.084,non noto,PTUA2022,
6,PO0130230U0003,32,2002-04-01,,no,,,363.065,,372.084,non noto,PTUA2022,
7,PO0130230U0003,32,2002-05-01,,no,,,362.944,,372.084,non noto,PTUA2022,
8,PO0130230U0003,32,2002-06-01,,no,,,362.124,,372.084,non noto,PTUA2022,
9,PO0130230U0003,32,2002-07-01,,no,,,361.924,,372.084,non noto,PTUA2022,
10,PO0130230U0003,32,2002-08-01,,no,,,361.524,,372.084,non noto,PTUA2022,
11,PO0130230U0003,32,2002-09-01,,no,,,362.274,,372.084,non noto,PTUA2022,
12,PO0130230U0003,32,2002-10-01,,no,,,361.674,,372.084,non noto,PTUA2022,
13,PO0130230U0003,32,2002-12-01,,no,,,363.094,,372.084,non noto,PTUA2022,
14,PO0130230U0003,32,2003-01-01,,no,,,362.304,,372.084,non noto,PTUA2022,
15,PO0130230U0003,32,2003-02-01,,no,,,361.954,,372.084,non noto,PTUA2022,
16,PO0130230U0003,32,2003-03-01,,no,,,361.624,,372.084,non noto,PTUA2022,
17,PO0130230U0003,32,2003-04-01,,no,,,361.444,,372.084,non noto,PTUA2022,
18,PO0130230U0003,32,2003-05-01,,no,,,361.214,,372.084,non noto,PTUA2022,
19,PO0130230U0003,32,2003-06-01,,no,,,360.964,,372.084,non noto,PTUA2022,
20,PO0130230U0003,32,2003-07-01,,no,,,360.774,,372.084,non noto,PTUA2022,
21,PO0130230U0003,32,2003-08-01,,no,,,360.834,,372.084,non noto,PTUA2022,
22,PO0130230U0003,32,2003-09-01,,no,,,360.824,,372.084,non noto,PTUA2022,
23,PO0130230U0003,32,2003-10-01,,no,,,360.674,,372.084,non noto,PTUA2022,
24,PO0130230U0003,32,2003-11-01,,no,,,360.414,,372.084,non noto,PTUA2022,
25,PO0130230U0003,32,2003-12-01,,no,,,361.374,,372.084,non noto,PTUA2022,
26,PO0130230U0003,32,2004-02-01,,no,,,361.724,,372.084,non noto,PTUA2022,
27,PO0130230U0003,32,2004-03-01,,no,,,362.174,,372.084,non noto,PTUA2022,
28,PO0130230U0003,32,2004-04-01,,no,,,363.524,,372.084,non noto,PTUA2022,
29,PO0130230U0003,32,2004-05-01,,no,,,363.154,,372.084,non noto,PTUA2022,
30,PO0130230U0003,32,2004-06-01,,no,,,362.094,,372.084,non noto,PTUA2022,
31,PO0130230U0003,32,2004-07-01,,no,,,361.504,,372.084,non noto,PTUA2022,
32,PO0130230U0003,32,2004-08-01,,no,,,361.404,,372.084,non noto,PTUA2022,
33,PO0130230U0003,32,2004-09-01,,no,,,361.074,,372.084,non noto,PTUA2022,
34,PO0130230U0003,32,2004-10-01,,no,,,361.124,,372.084,non noto,PTUA2022,
