,z,x,y
PO012002NU0008,0.3853204664075677,492805.0,5069886.0
PO012026NU3021,0.5549229427026537,485002.0,5065315.0
PO0120500RZ001,0.7279132908816441,493230.0,5064390.0
PO012070NU1007,0.8207920883323803,503950.0,5061917.0
PO0120750R2020,0.93458929107348,506428.0,5061507.0
PO0120790RZ001,0.5244005127080407,502017.0,5061511.0
PO012090NU2009,1.150349380376008,531019.0,5060365.0
PO0121180U0005,0.93458929107348,530989.0,5061279.0
PO0121300RZ001,0.7279132908816441,482391.0,5056403.0
PO012136NUZ001,0.579132162255556,494757.0,5054445.0
PO0130230U0003,0.93458929107348,477395.4323,5053944.915
PO0130280U0009,0.1891184262727923,494595.0,5059657.0
PO013064NU0002,0.5977601260424784,495957.0,5058515.0
PO0131330U0009,0.9208229763683788,529860.0,5057943.0
PO0131590U0001,-0.1046334556140751,486383.0,5048270.0
PO015146NU1534,-0.2669941254049525,522621.0,5051383.0
PO0970200U0002,0.967421566101701,526092.0,5045211.0
PO0970200U0003,-0.4537621901698794,479252.0,5043806.0
PO0970480U0001,0.0627067779432135,492931.0,5045894.0
PO0970610U0015,-0.1678940047881054,520727.0,5045937.0
