,CODICE,COMUNE,X_WGS84,Y_WGS84
32,PO0130230U0003,BINAGO,492805.0,5069886.0
33,PO012002NU0008,ALBIZZATE,485002.0,5065315.0
34,PO012136NUZ001,VENEGONO INFERIORE,493230.0,5064390.0
35,PO0130280U0009,BREGNANO,503950.0,5061917.0
38,PO013064NU0002,CERMENATE,506428.0,5061507.0
39,PO0131330U0009,LOMAZZO,502017.0,5061511.0
41,PO0970200U0002,CERNUSCO LOMBARDONE,531019.0,5060365.0
42,PO0970480U0001,MERATE,530989.0,5061279.0
43,PO0120500RZ001,CISLAGO,495380.0,5054832.0
44,PO012070NU1007,GALLARATE,482391.0,5056403.0
45,PO0120790RZ001,GORLA MINORE,494757.0,5054445.0
46,PO012123NUP001,SOMMA LOMBARDO,477395.4323,5053944.915
47,PO0131310U0001,LOCATE VARESINO,494595.0,5059657.0
48,PO0131590U0001,MOZZATE,495957.0,5058515.0
49,PO0970200U0003,CERNUSCO LOMBARDONE,530490.0,5059489.0
50,PO0970610U0015,OSNAGO,529860.0,5057943.0
52,PO012026NU3021,BUSTO ARSIZIO,486383.0,5048270.0
53,PO0120750R2020,GERENZANO,498243.0,5052530.0
54,PO012090NU2009,LONATE POZZOLO,477623.0,5050127.0
55,PO0121180U0005,SAMARATE,481042.0,5052887.0
56,PO0121300RZ001,UBOLDO,497814.0,5049212.0
62,PO108033NR0142,MONZA,522621.0,5051383.0
66,PO015041NR0075,BUSTO GAROLFO,491337.0,5042014.0
67,PO015051NR0012,CARUGATE,526092.0,5045211.0
69,PO015062NR0071,CASTANO PRIMO,479252.0,5043806.0
71,PO015194NU0017,SAN GIORGIO SU LEGNANO,492931.0,5045894.0
73,PO108033NU0243,MONZA,520727.0,5045937.0
76,PO015113NUP001,INVERUNO,489297.5977,5039466.985
78,PO015146NU1534,MILANO,510123.0,5040197.0
