,z,x,y
PO012002NU0008,-0.1256613468550741,492805.0,5069886.0
PO012026NU3021,0.7164975001779914,485002.0,5065315.0
PO0120500RZ001,-0.5244005127080409,493230.0,5064390.0
PO012070NU1007,-0.1479871097258389,503950.0,5061917.0
PO0120750R2020,-0.1891184262727925,506428.0,5061507.0
PO0120790RZ001,0.0,502017.0,5061511.0
PO012090NU2009,-0.7554150263604693,531019.0,5060365.0
PO0121180U0005,-0.5977601260424786,530989.0,5061279.0
PO012123NUP001,-0.6744897501960817,495380.0,5054832.0
PO0121300RZ001,-0.1678940047881054,482391.0,5056403.0
PO012136NUZ001,-0.4022500653217253,494757.0,5054445.0
PO0130230U0003,0.5977601260424784,477395.4323,5053944.915
PO0130280U0009,0.1891184262727923,494595.0,5059657.0
PO013064NU0002,-0.0627067779432138,495957.0,5058515.0
PO0131310U0001,-0.5894557978497783,530490.0,5059489.0
PO0131330U0009,-0.4637077514571792,529860.0,5057943.0
PO0131590U0001,-0.318639363964375,486383.0,5048270.0
PO015041NR0075,-1.465233792685523,498243.0,5052530.0
PO015051NR0012,0.524400512708041,477623.0,5050127.0
PO015062NR0071,-0.3661063568005695,481042.0,5052887.0
PO015113NUP001,-0.5244005127080407,497814.0,5049212.0
PO015146NU1534,-0.132312852276171,522621.0,5051383.0
PO015194NU0017,-0.3661063568005695,491337.0,5042014.0
PO0970200U0002,-0.5244005127080409,526092.0,5045211.0
PO0970200U0003,-0.1891184262727925,479252.0,5043806.0
PO0970480U0001,-0.3186393639643751,492931.0,5045894.0
PO0970610U0015,0.1678940047881054,520727.0,5045937.0
PO108033NR0142,0.0,489297.5977,5039466.985
PO108033NU0243,-0.7916386077433746,510123.0,5040197.0
